phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
stream,plain,false,8388608,pattern,3,199.112,14652.786,15305.554,8659328
range,encrypted-signed,false,8388608,pattern,3,1019.793,9712.883,12827.123,8673664
range,plain,true,8388608,pattern,3,261.273,2545.112,2841.616,273792
stream,encrypted,true,8388608,pattern,3,239.874,3313.502,3596.406,273792
whole,encrypted,false,8388608,pattern,3,217.453,23632.190,26205.153,8659328
range,signed,false,8388608,pattern,3,19389.777,1009.673,20732.614,8673664
range,encrypted,true,8388608,pattern,3,221.593,501.967,737.540,273792
range,plain,false,8388608,pattern,3,165.272,5178.916,5555.791,8659328
whole,signed,true,8388608,pattern,3,6651.245,7005.489,13692.964,284032
whole,plain,false,8388608,pattern,3,189.932,17918.038,19974.923,8659328
whole,plain,true,8388608,pattern,3,231.023,9905.626,10171.559,273792
stream,encrypted-signed,true,8388608,pattern,3,1011.373,2033.766,3070.989,284032
stream,signed,true,8388608,pattern,3,6582.874,1907.824,8515.499,284032
stream,plain,true,8388608,pattern,3,196.323,1996.155,2210.968,273792
range,encrypted,false,8388608,pattern,3,189.352,8033.952,10022.977,8659328
range,signed,true,8388608,pattern,3,8548.358,360.955,8929.583,284032
whole,encrypted-signed,true,8388608,pattern,3,970.683,10020.737,11017.790,284032
stream,signed,false,8388608,pattern,3,15650.999,4831.361,20918.066,8673664
range,encrypted-signed,true,8388608,pattern,3,1075.894,598.348,1691.062,284032
whole,encrypted-signed,false,8388608,pattern,3,936.542,21295.610,24804.595,8673664
whole,signed,false,8388608,pattern,3,22839.450,13460.161,38259.246,8673664
stream,encrypted-signed,false,8388608,pattern,3,1048.133,17088.957,20049.444,8673664
stream,encrypted,true,8388608,pattern,4,223.013,4648.699,4900.762,273792
range,encrypted-signed,true,8388608,pattern,4,996.682,381.005,1387.987,284032
stream,plain,false,8388608,pattern,4,154.061,12259.026,12720.661,8659328
range,signed,false,8388608,pattern,4,15161.572,1026.903,16426.018,8673664
whole,encrypted,true,8388608,pattern,4,201.032,6816.147,7051.799,273792
range,encrypted-signed,false,8388608,pattern,4,960.252,7982.121,10743.976,8673664
whole,encrypted-signed,false,8388608,pattern,4,967.722,24746.735,28184.138,8673664
range,plain,false,8388608,pattern,4,210.963,9548.751,9962.976,8659328
range,encrypted,false,8388608,pattern,4,308.764,9406.409,11497.026,8659328
stream,plain,true,8388608,pattern,4,320.295,4609.608,4956.573,273792
stream,signed,true,8388608,pattern,4,6731.756,1902.984,8658.790,284032
whole,encrypted,false,8388608,pattern,4,185.232,22663.328,25346.152,8659328
stream,signed,false,8388608,pattern,4,20052.275,4627.729,24941.447,8673664
range,encrypted,true,8388608,pattern,4,291.724,465.595,768.400,273792
stream,encrypted,false,8388608,pattern,4,173.022,13834.316,15934.922,8659328
whole,plain,false,8388608,pattern,4,273.113,22700.579,24886.386,8659328
range,signed,true,8388608,pattern,4,7303.422,346.295,7669.377,284032
stream,encrypted-signed,false,8388608,pattern,4,1025.273,17525.993,20446.120,8673664
range,plain,true,8388608,pattern,4,307.634,2176.167,2498.082,273792
whole,signed,true,8388608,pattern,4,6604.624,9543.861,16187.545,284032
whole,plain,true,8388608,pattern,4,226.833,6472.132,6732.376,273792
stream,encrypted-signed,true,8388608,pattern,4,1127.675,2056.166,3210.191,284032
whole,signed,false,8388608,pattern,4,15346.815,12279.536,29518.425,8673664
whole,encrypted-signed,true,8388608,pattern,4,1030.073,10062.358,11132.132,284032
stream,encrypted-signed,true,8388608,pattern,5,1000.633,2249.559,3279.482,284032
whole,plain,true,8388608,pattern,5,204.053,6762.776,7010.170,273792
range,encrypted-signed,true,8388608,pattern,5,1009.543,574.397,1598.501,284032
stream,plain,true,8388608,pattern,5,177.392,2141.207,2347.410,273792
range,encrypted,false,8388608,pattern,5,311.604,9058.765,11335.764,8659328
stream,encrypted-signed,false,8388608,pattern,5,1021.303,19329.866,22532.626,8673664
stream,plain,false,8388608,pattern,5,335.064,16139.935,16936.815,8659328
stream,encrypted,true,8388608,pattern,5,354.664,2357.980,2744.915,273792
stream,signed,true,8388608,pattern,5,6893.968,2183.807,9114.276,284032
whole,encrypted-signed,true,8388608,pattern,5,1005.462,7425.895,8479.417,284032
range,encrypted,true,8388608,pattern,5,224.513,586.647,822.021,273792
range,plain,true,8388608,pattern,5,177.702,370.175,557.567,273792
stream,signed,false,8388608,pattern,5,16475.159,4784.671,21636.305,8673664
range,encrypted-signed,false,8388608,pattern,5,1026.163,8711.231,11710.409,8673664
range,signed,true,8388608,pattern,5,8753.191,354.254,9147.656,284032
range,signed,false,8388608,pattern,5,18312.402,1040.553,19849.692,8673664
whole,plain,false,8388608,pattern,5,288.714,19332.026,21682.036,8659328
stream,encrypted,false,8388608,pattern,5,329.785,18693.837,21098.369,8659328
whole,encrypted,false,8388608,pattern,5,207.593,26013.750,28833.726,8659328
whole,encrypted,true,8388608,pattern,5,338.504,11990.063,12370.977,273792
range,plain,false,8388608,pattern,5,186.672,5563.321,6046.617,8659328
whole,signed,false,8388608,pattern,5,16510.950,12567.680,31097.285,8673664
whole,encrypted-signed,false,8388608,pattern,5,1100.604,25660.136,29356.213,8673664
whole,signed,true,8388608,pattern,5,8937.763,9966.367,18951.281,284032
stream,encrypted-signed,false,8388608,pattern,6,980.523,14221.221,17312.810,8673664
whole,plain,false,8388608,pattern,6,299.164,23796.532,26162.203,8659328
range,encrypted,true,8388608,pattern,6,314.514,875.791,1212.486,273792
range,encrypted-signed,false,8388608,pattern,6,930.812,11283.023,14053.119,8673664
stream,encrypted-signed,true,8388608,pattern,6,1162.995,4575.498,5761.063,284032
stream,signed,false,8388608,pattern,6,17662.484,4685.430,22621.627,8673664
stream,encrypted,true,8388608,pattern,6,221.413,2296.419,2550.432,273792
range,plain,false,8388608,pattern,6,194.762,5110.305,5488.260,8659328
whole,encrypted,true,8388608,pattern,6,195.663,6871.977,7101.460,273792
whole,encrypted-signed,false,8388608,pattern,6,972.152,20311.408,23758.622,8673664
stream,plain,false,8388608,pattern,6,221.812,14613.496,15130.832,8659328
range,plain,true,8388608,pattern,6,345.705,424.605,781.930,273792
stream,encrypted,false,8388608,pattern,6,272.194,15022.261,17223.189,8659328
whole,signed,false,8388608,pattern,6,19543.188,12633.951,34077.903,8673664
stream,signed,true,8388608,pattern,6,7249.632,2766.905,10042.607,284032
whole,encrypted-signed,true,8388608,pattern,6,962.502,8709.411,9711.043,284032
range,signed,false,8388608,pattern,6,15079.311,1031.783,16337.567,8673664
range,signed,true,8388608,pattern,6,6668.074,352.595,7035.919,284032
range,encrypted,false,8388608,pattern,6,166.143,7948.611,9907.126,8659328
range,encrypted-signed,true,8388608,pattern,6,997.432,2213.059,3227.041,284032
whole,signed,true,8388608,pattern,6,6630.414,9457.581,16122.405,284032
whole,encrypted,false,8388608,pattern,6,198.822,20053.915,22720.258,8659328
stream,plain,true,8388608,pattern,6,225.693,4719.230,4973.463,273792
whole,plain,true,8388608,pattern,6,199.212,8825.662,9062.645,273792
whole,plain,false,8388608,pattern,7,193.452,17914.758,20001.284,8659328
whole,encrypted-signed,false,8388608,pattern,7,987.223,23608.040,27087.325,8673664
whole,encrypted,false,8388608,pattern,7,221.383,25003.118,27862.614,8659328
range,encrypted-signed,true,8388608,pattern,7,1030.393,2308.870,3356.563,284032
whole,signed,true,8388608,pattern,7,6655.345,9441.990,16135.475,284032
stream,plain,false,8388608,pattern,7,191.442,10151.079,10635.605,8659328
whole,plain,true,8388608,pattern,7,204.973,6518.263,6757.896,273792
range,signed,false,8388608,pattern,7,15184.853,1092.634,16525.490,8673664
stream,plain,true,8388608,pattern,7,191.633,2118.257,2333.240,273792
range,encrypted,false,8388608,pattern,7,194.203,8004.062,9983.837,8659328
stream,encrypted-signed,true,8388608,pattern,7,1010.853,4659.919,5698.472,284032
stream,encrypted,false,8388608,pattern,7,188.502,15647.179,17728.195,8659328
range,encrypted-signed,false,8388608,pattern,7,967.302,12673.471,15375.175,8673664
stream,encrypted-signed,false,8388608,pattern,7,972.922,18101.490,20993.977,8673664
range,plain,false,8388608,pattern,7,188.263,9454.379,9850.805,8659328
stream,signed,false,8388608,pattern,7,15120.822,4697.339,20075.585,8673664
whole,encrypted-signed,true,8388608,pattern,7,992.053,7037.629,8071.403,284032
range,encrypted,true,8388608,pattern,7,233.463,442.725,687.058,273792
whole,signed,false,8388608,pattern,7,14938.299,12382.048,29218.811,8673664
