files,bytes_per_file,compressed,mode,profile,access,zip_ms,lockbox_ms,lockbox_over_zip,zip_open_ms,zip_read_ms,lockbox_open_ms,lockbox_read_ms,zip_bytes,lockbox_bytes,corpus
4,1048576,true,signed,Interactive,range,1.320,7.163,5.427,0.034,1.285,4.690,2.423,56150,45376,pattern
4,1048576,true,signed,ReadMostly,stream,0.932,7.563,8.112,0.036,0.893,4.720,1.775,56150,45376,pattern
4,1048576,true,signed,ReadMostly,random,0.948,8.686,9.166,0.036,0.910,4.725,2.885,56150,45376,pattern
4,1048576,true,signed,ReadMostly,range,1.330,8.269,6.216,0.035,1.294,4.705,2.521,56150,45376,pattern
4,1048576,true,encrypted-signed,Interactive,stream,0.939,2.502,2.663,0.035,0.902,0.822,1.651,56150,45376,pattern
4,1048576,true,encrypted-signed,Interactive,random,0.934,3.581,3.836,0.035,0.891,0.820,2.716,56150,45376,pattern
4,1048576,true,encrypted-signed,Interactive,range,1.325,3.476,2.624,0.035,1.289,0.867,2.569,56150,45376,pattern
4,1048576,true,encrypted-signed,ReadMostly,stream,0.932,3.793,4.071,0.034,0.895,0.854,1.846,56150,45376,pattern
4,1048576,true,encrypted-signed,ReadMostly,random,0.945,4.873,5.159,0.045,0.908,0.875,2.908,56150,45376,pattern
4,1048576,true,encrypted-signed,ReadMostly,range,1.369,4.557,3.329,0.035,1.333,0.859,2.642,56150,45376,pattern
