case,metric,main_us,branch_us,paired_change_pct,low95_pct,high95_pct,pairs
signed/false/stream,open,1240.629,1296.160,4.037,2.444,4.751,15
signed/false/stream,read,17.970,17.940,-0.337,-1.967,0.887,15
signed/false/stream,total,1277.860,1325.170,3.499,2.137,4.211,15
signed/false/stream-content,open,1237.859,1290.370,4.518,0.928,6.659,15
signed/false/stream-content,read,18.320,18.290,0.375,-7.920,1.425,15
signed/false/stream-content,total,1268.440,1318.761,4.009,0.252,6.225,15
signed/false/whole,open,1232.309,1298.550,5.273,2.909,6.557,15
signed/false/whole,read,1.440,1.470,0.746,-2.083,5.556,15
signed/false/whole,total,1245.779,1308.410,4.946,2.605,6.207,15
signed/true/range,open,1276.480,1322.640,3.293,2.249,4.690,15
signed/true/range,read,1.471,1.500,1.346,-1.685,3.378,15
signed/true/range,total,1290.520,1332.890,2.975,1.941,4.447,15
signed/true/stream,open,1274.910,1322.641,4.420,2.985,6.842,15
signed/true/stream,read,18.010,17.931,-0.161,-2.022,0.049,15
signed/true/stream,total,1305.460,1349.181,4.048,2.773,6.596,15
signed/true/stream-content,open,1266.889,1322.880,4.894,3.678,6.085,15
signed/true/stream-content,read,18.290,18.280,0.503,-2.786,1.543,15
signed/true/stream-content,total,1297.490,1355.111,4.507,3.352,5.747,15
signed/true/whole,open,1271.789,1326.211,4.073,3.252,5.035,15
signed/true/whole,read,1.480,1.470,-0.671,-12.209,3.597,15
signed/true/whole,total,1286.620,1336.391,3.746,2.892,4.706,15
