phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
stream,encrypted-signed,true,8388608,random,0,1121.455,17093.983,21879.978,8669568
stream,signed,false,8388608,random,0,21886.189,4791.845,28838.664,8673664
whole,encrypted,false,8388608,random,0,242.474,26531.411,31129.915,8659328
whole,plain,true,8388608,random,0,252.004,25377.546,29436.232,8659328
range,plain,true,8388608,random,0,283.534,9593.211,11451.776,8659328
stream,plain,false,8388608,random,0,229.303,10488.903,12831.805,8659328
stream,encrypted-signed,false,8388608,random,0,1067.054,16122.600,20834.694,8673664
range,signed,true,8388608,random,0,20484.850,1047.104,23646.903,8669568
whole,encrypted,true,8388608,random,0,302.134,26673.694,31319.718,8659328
stream,encrypted,true,8388608,random,0,573.577,28565.160,32915.809,8659328
stream,plain,true,8388608,random,0,431.766,17448.648,22313.345,8659328
whole,encrypted-signed,false,8388608,random,0,1730.914,38850.790,44443.937,8673664
stream,signed,true,8388608,random,0,22784.441,5068.809,30145.032,8669568
stream,encrypted,false,8388608,random,0,413.986,19136.231,24466.504,8659328
whole,encrypted-signed,true,8388608,random,0,1757.274,35902.730,42126.425,8669568
whole,signed,true,8388608,random,0,21495.103,15284.968,40817.077,8669568
range,encrypted,true,8388608,random,0,350.324,15930.538,19486.716,8659328
whole,plain,false,8388608,random,0,378.205,26990.169,31321.618,8659328
range,encrypted,false,8388608,random,0,236.483,14736.301,18439.302,8659328
range,encrypted-signed,true,8388608,random,0,1130.935,16430.695,20790.884,8669568
whole,signed,false,8388608,random,0,22150.672,15164.087,40898.118,8673664
range,encrypted-signed,false,8388608,random,0,1216.446,14061.712,18445.681,8673664
range,plain,false,8388608,random,0,221.523,9948.796,12671.153,8659328
range,signed,false,8388608,random,0,16187.451,1067.464,19388.935,8673664
stream,encrypted-signed,true,8388608,random,0,1113.875,16613.317,21644.565,8669568
stream,signed,false,8388608,random,0,20223.426,4860.446,27241.162,8673664
whole,encrypted,false,8388608,random,0,266.984,26417.190,31159.805,8659328
whole,plain,true,8388608,random,0,426.475,26320.640,30651.898,8659328
range,plain,true,8388608,random,0,287.904,9768.274,11669.970,8659328
stream,plain,false,8388608,random,0,230.983,11307.284,13759.598,8659328
stream,encrypted-signed,false,8388608,random,0,1133.226,16901.160,21792.438,8673664
range,signed,true,8388608,random,0,20378.688,1068.825,23689.423,8669568
whole,encrypted,true,8388608,random,0,298.574,26928.427,31744.093,8659328
stream,encrypted,true,8388608,random,0,597.948,24797.959,28101.024,8659328
stream,plain,true,8388608,random,0,351.814,14671.881,18215.159,8659328
whole,encrypted-signed,false,8388608,random,0,1177.126,32462.934,37398.221,8673664
stream,signed,true,8388608,random,0,21307.182,4817.715,28252.676,8669568
stream,encrypted,false,8388608,random,0,352.995,17617.210,21729.077,8659328
whole,encrypted-signed,true,8388608,random,0,1214.967,33012.891,39471.710,8669568
whole,signed,true,8388608,random,0,21176.849,14938.075,40139.569,8669568
range,encrypted,true,8388608,random,0,289.194,15721.995,19330.074,8659328
whole,plain,false,8388608,random,0,388.985,26737.155,31132.405,8659328
range,encrypted,false,8388608,random,0,268.344,14313.766,17823.154,8659328
range,encrypted-signed,true,8388608,random,0,1165.766,15390.981,20673.393,8669568
whole,signed,false,8388608,random,0,25721.701,15008.985,44357.326,8673664
range,encrypted-signed,false,8388608,random,0,1065.315,13323.812,17669.972,8673664
range,plain,false,8388608,random,0,220.773,9852.105,11678.120,8659328
range,signed,false,8388608,random,0,16000.129,1042.964,19136.691,8673664
stream,encrypted-signed,true,8388608,random,0,1026.614,16373.864,21103.878,8669568
stream,signed,false,8388608,random,0,19994.844,4786.535,26891.158,8673664
whole,encrypted,false,8388608,random,0,273.544,26528.793,31287.188,8659328
whole,plain,true,8388608,random,0,329.905,25393.627,29619.215,8659328
range,plain,true,8388608,random,0,254.644,9579.501,11410.746,8659328
stream,plain,false,8388608,random,0,234.483,10777.437,13158.579,8659328
stream,encrypted-signed,false,8388608,random,0,1054.934,16231.842,20956.526,8673664
range,signed,true,8388608,random,0,20186.885,1061.105,23379.309,8669568
whole,encrypted,true,8388608,random,0,254.944,26431.011,31083.275,8659328
stream,encrypted,true,8388608,random,0,609.598,24974.832,28282.467,8659328
stream,plain,true,8388608,random,0,356.645,14568.659,18083.147,8659328
whole,encrypted-signed,false,8388608,random,0,1165.756,32634.917,37806.997,8673664
stream,signed,true,8388608,random,0,21652.976,4807.156,28591.331,8669568
