files,size,access,format,open_us,first_byte_us,first_file_us,total_us,archive_bytes
1,128,stream,zip,16.901,22.871,23.531,24.620,256
1,128,stream,current,68.571,80.501,81.131,88.252,7488
1,128,stream,prototype-padded,7.820,11.220,11.260,15.080,2048
1,128,stream,prototype-compact,6.440,9.330,9.370,12.500,288
1,128,whole,zip,16.870,22.371,22.410,23.451,256
1,128,whole,current,67.181,80.281,80.321,87.012,7488
1,128,whole,prototype-padded,7.770,11.171,11.211,15.070,2048
1,128,whole,prototype-compact,6.440,9.320,9.360,12.450,288
1,128,range,zip,16.900,22.650,22.690,23.710,256
1,128,range,current,67.751,79.281,79.321,87.321,7488
1,128,range,prototype-padded,7.730,11.160,11.200,15.060,2048
1,128,range,prototype-compact,6.420,9.300,9.330,12.430,288
512,4096,stream,zip,3393.239,3405.379,3406.529,7535.430,2151446
512,4096,stream,current,581.509,2144.072,2145.192,4439.685,2215232
512,4096,stream,prototype-padded,21.850,33.111,33.331,1574.282,2655232
512,4096,stream,prototype-compact,23.591,34.761,34.941,1539.922,2146368
512,4096,whole,zip,3352.189,3363.369,3363.469,7014.682,2151446
512,4096,whole,current,566.508,2112.791,2113.031,3920.157,2215232
512,4096,whole,prototype-padded,18.731,30.560,30.760,1605.724,2655232
512,4096,whole,prototype-compact,17.520,27.530,27.630,1545.773,2146368
512,4096,range,zip,3308.718,3319.239,3319.319,6830.759,2151446
512,4096,range,current,562.458,2072.340,2072.500,3828.376,2215232
512,4096,range,prototype-padded,15.831,26.321,26.411,1540.713,2655232
512,4096,range,prototype-compact,17.170,27.120,27.250,1493.192,2146368
4,8388608,stream,zip,83.321,104.292,2285.044,8801.758,33554878
4,8388608,stream,current,156.242,5497.170,10568.614,53516.760,33570112
4,8388608,stream,prototype-padded,35.920,1020.715,2554.647,10880.569,33620992
4,8388608,stream,prototype-compact,34.530,917.243,2259.883,9816.293,33620288
4,8388608,whole,zip,95.791,1497.432,1956.929,8270.970,33554878
4,8388608,whole,current,172.572,13717.430,14428.411,63694.208,33570112
4,8388608,whole,prototype-padded,32.830,2425.735,3073.024,13626.279,33620992
4,8388608,whole,prototype-compact,36.401,3053.395,3663.894,15323.433,33620288
4,8388608,range,zip,70.471,94.352,94.522,135.772,33554878
4,8388608,range,current,126.822,5609.082,5609.802,29926.156,33570112
4,8388608,range,prototype-padded,32.461,53.471,54.250,122.152,33620992
4,8388608,range,prototype-compact,8.580,23.500,23.670,86.071,33620288
