size,block,encrypted,signed,compressed,repeat,bytes,write_us,open_us,whole_us,range_us,compression_requested
4194304,16384,false,false,false,1,4202613,3840.788,9.730,3924.120,20.591,false
4194304,16384,false,false,false,2,4202613,3805.078,9.640,3902.239,27.851,false
4194304,16384,false,false,false,3,4202613,3787.507,9.520,3866.329,20.091,false
4194304,16384,false,false,false,4,4202613,3804.748,9.300,3894.219,20.000,false
4194304,16384,false,false,false,5,4202613,3933.649,9.501,3956.090,19.741,false
4194304,16384,true,false,false,1,4206725,5315.030,18.091,6917.775,39.170,false
4194304,16384,true,false,false,2,4206725,6958.446,18.370,6886.515,33.271,false
4194304,16384,true,false,false,3,4206725,6730.432,18.030,6756.673,33.311,false
4194304,16384,true,false,false,4,4206725,6697.532,17.550,6752.953,32.831,false
4194304,16384,true,false,false,5,4206725,6660.661,17.590,6763.193,34.220,false
4194304,16384,false,true,false,1,4202613,3872.788,6033.262,2324.126,21.551,false
4194304,16384,false,true,false,2,4202613,3893.899,6048.332,2310.895,29.880,false
4194304,16384,false,true,false,3,4202613,3959.310,6041.972,2343.716,26.610,false
4194304,16384,false,true,false,4,4202613,3934.390,6103.813,2371.346,23.290,false
4194304,16384,false,true,false,5,4202613,3973.191,6012.021,2422.047,37.161,false
4194304,16384,true,true,false,1,4206725,6684.261,8849.065,5216.349,34.140,false
4194304,16384,true,true,false,2,4206725,6709.332,8924.225,5149.128,42.251,false
4194304,16384,true,true,false,3,4206725,6705.552,8945.895,5174.969,37.120,false
4194304,16384,true,true,false,4,4206725,6739.673,8956.116,5211.419,34.361,false
4194304,16384,true,true,false,5,4206725,6755.953,8922.455,5198.029,32.341,false
4194304,16384,false,false,true,1,26415,2368.766,1.580,4225.374,4771.883,true
4194304,16384,false,false,true,2,26415,2313.525,1.600,4189.454,4825.993,true
4194304,16384,false,false,true,3,26415,2332.196,1.300,4352.226,4678.411,true
4194304,16384,false,false,true,4,26415,2341.485,1.430,4345.406,4611.390,true
4194304,16384,false,false,true,5,26415,2361.646,2.300,4272.175,4745.632,true
4194304,16384,true,false,true,1,26463,2440.517,5.350,4256.615,4644.170,true
4194304,16384,true,false,true,2,26463,2331.265,4.200,4297.705,4593.560,true
4194304,16384,true,false,true,3,26463,2322.255,4.270,4120.733,4452.598,true
4194304,16384,true,false,true,4,26463,2422.937,5.020,4096.062,4448.607,true
4194304,16384,true,false,true,5,26463,2331.666,4.180,4271.205,4704.341,true
4194304,16384,false,true,true,1,26415,2380.096,7420.623,5664.816,4730.972,true
4194304,16384,false,true,true,2,26415,2421.147,7448.003,5717.357,4698.181,true
4194304,16384,false,true,true,3,26415,2369.976,9803.059,7380.022,5832.478,true
4194304,16384,false,true,true,4,26415,2460.507,7707.347,5735.557,4625.280,true
4194304,16384,false,true,true,5,26415,2348.165,7194.820,5568.554,4544.139,true
4194304,16384,true,true,true,1,26463,2355.136,7288.530,5637.706,4556.279,true
4194304,16384,true,true,true,2,26463,2350.416,7248.070,5489.994,4580.469,true
4194304,16384,true,true,true,3,26463,2431.447,8097.923,5843.609,4695.941,true
4194304,16384,true,true,true,4,26463,2410.747,7138.808,5458.423,4547.909,true
4194304,16384,true,true,true,5,26463,2378.556,7107.208,5528.964,4456.468,true
4194304,65536,false,false,false,1,4196469,3800.828,3.340,3891.839,53.931,false
4194304,65536,false,false,false,2,4196469,3793.238,3.410,3879.819,58.181,false
4194304,65536,false,false,false,3,4196469,3857.018,3.330,3888.040,52.731,false
4194304,65536,false,false,false,4,4196469,3811.298,3.500,3925.140,53.761,false
4194304,65536,false,false,false,5,4196469,3764.327,3.280,3845.429,53.121,false
4194304,65536,true,false,false,1,4197509,6325.646,7.940,6521.649,91.501,false
4194304,65536,true,false,false,2,4197509,6326.426,7.940,6426.748,93.312,false
4194304,65536,true,false,false,3,4197509,6463.048,8.160,7122.718,104.382,false
4194304,65536,true,false,false,4,4197509,7227.100,9.660,7438.193,107.682,false
4194304,65536,true,false,false,5,4197509,7233.570,9.690,7282.430,119.631,false
4194304,65536,false,true,false,1,4196469,4354.127,7346.171,2597.810,58.831,false
4194304,65536,false,true,false,2,4196469,4137.233,6458.948,2662.131,62.901,false
4194304,65536,false,true,false,3,4196469,4546.109,7463.033,2455.977,53.941,false
4194304,65536,false,true,false,4,4196469,4376.076,6408.968,2493.898,56.271,false
4194304,65536,false,true,false,5,4196469,3941.179,6227.625,2395.356,53.671,false
4194304,65536,true,true,false,1,4197509,6453.378,8753.493,4897.185,92.132,false
4194304,65536,true,true,false,2,4197509,6485.168,8635.642,4882.264,91.062,false
4194304,65536,true,true,false,3,4197509,6378.557,8709.782,4911.434,92.892,false
4194304,65536,true,true,false,4,4197509,6379.607,8591.251,4903.754,96.491,false
4194304,65536,true,true,false,5,4197509,6565.840,8587.771,4995.936,93.692,false
4194304,65536,false,false,true,1,26383,2369.366,1.880,4225.814,4501.139,true
4194304,65536,false,false,true,2,26383,2323.205,1.460,4177.993,4585.890,true
4194304,65536,false,false,true,3,26383,2344.505,1.370,4379.027,4662.671,true
4194304,65536,false,false,true,4,26383,2379.026,1.470,4246.674,4585.469,true
4194304,65536,false,false,true,5,26383,2363.766,1.600,4256.654,4655.811,true
4194304,65536,true,false,true,1,26415,2385.346,4.910,4520.219,4783.883,true
4194304,65536,true,false,true,2,26415,2350.346,4.310,4342.776,4696.491,true
4194304,65536,true,false,true,3,26415,2487.968,4.820,4394.597,4752.322,true
4194304,65536,true,false,true,4,26415,2387.706,4.710,4234.485,4653.861,true
4194304,65536,true,false,true,5,26415,2346.455,4.380,4313.406,4607.880,true
4194304,65536,false,true,true,1,26383,2368.866,7629.826,6718.362,5574.735,true
4194304,65536,false,true,true,2,26383,2633.750,9179.149,6933.725,5193.009,true
4194304,65536,false,true,true,3,26383,2514.978,7599.616,5491.633,4601.910,true
4194304,65536,false,true,true,4,26383,2363.835,7506.994,5592.425,4837.833,true
4194304,65536,false,true,true,5,26383,2516.328,7819.079,6207.274,4685.161,true
4194304,65536,true,true,true,1,26415,2397.306,7372.202,5663.996,4596.110,true
4194304,65536,true,true,true,2,26415,2363.626,7284.711,5941.980,4747.883,true
4194304,65536,true,true,true,3,26415,2487.128,7497.634,5694.287,4810.053,true
4194304,65536,true,true,true,4,26415,2411.407,7214.530,5552.884,4563.999,true
4194304,65536,true,true,true,5,26415,2393.857,7275.310,5613.586,4607.990,true
4194304,262144,false,false,false,1,4194933,3749.127,1.510,3878.359,225.594,false
4194304,262144,false,false,false,2,4194933,3760.967,1.900,3878.519,219.403,false
4194304,262144,false,false,false,3,4194933,3735.626,1.481,3890.479,220.794,false
4194304,262144,false,false,false,4,4194933,3848.939,1.770,3892.599,213.903,false
4194304,262144,false,false,false,5,4194933,3828.458,1.590,3893.789,213.403,false
4194304,262144,true,false,false,1,4195205,6257.725,5.511,6348.696,368.215,false
4194304,262144,true,false,false,2,4195205,6261.155,5.010,6399.847,370.036,false
4194304,262144,true,false,false,3,4195205,6186.814,5.330,6299.996,370.796,false
4194304,262144,true,false,false,4,4195205,6260.945,5.210,6346.687,382.266,false
4194304,262144,true,false,false,5,4195205,6165.984,5.370,6297.246,370.246,false
4194304,262144,false,true,false,1,4194933,4268.715,7309.151,2451.487,234.854,false
4194304,262144,false,true,false,2,4194933,4359.526,7287.871,2386.406,229.523,false
4194304,262144,false,true,false,3,4194933,4321.135,7300.751,2373.236,232.334,false
4194304,262144,false,true,false,4,4194933,4287.025,7215.020,2377.836,229.503,false
4194304,262144,false,true,false,5,4194933,4231.674,7762.248,2721.212,251.324,false
4194304,262144,true,true,false,1,4195205,7121.248,10807.324,5360.392,418.137,false
4194304,262144,true,true,false,2,4195205,7205.230,10756.073,5286.980,410.737,false
4194304,262144,true,true,false,3,4195205,7122.808,10881.156,5237.679,409.577,false
4194304,262144,true,true,false,4,4195205,6838.223,9891.661,4970.035,364.806,false
4194304,262144,true,true,false,5,4195205,6940.556,10632.521,5183.539,438.717,false
4194304,262144,false,false,true,1,26383,3160.148,2.330,5269.821,5754.127,true
4194304,262144,false,false,true,2,26383,2593.769,1.650,4652.791,5402.342,true
4194304,262144,false,false,true,3,26383,2342.076,1.420,4428.887,5684.877,true
4194304,262144,false,false,true,4,26383,2333.195,1.340,4188.584,4865.454,true
4194304,262144,false,false,true,5,26383,3219.359,2.100,5081.997,5753.417,true
4194304,262144,true,false,true,1,26415,3213.869,5.610,5146.968,5922.540,true
4194304,262144,true,false,true,2,26415,3316.740,6.110,5272.210,5749.258,true
4194304,262144,true,false,true,3,26415,3093.507,5.510,4042.762,4394.617,true
4194304,262144,true,false,true,4,26415,2567.249,4.030,3907.560,4227.685,true
4194304,262144,true,false,true,5,26415,2900.484,4.570,4057.112,5205.839,true
4194304,262144,false,true,true,1,26383,2423.297,9084.118,7160.938,5759.298,true
4194304,262144,false,true,true,2,26383,2367.876,7315.491,5189.359,4346.236,true
4194304,262144,false,true,true,3,26383,2311.895,7579.335,7008.606,5947.181,true
4194304,262144,false,true,true,4,26383,2712.451,8359.347,5359.491,4696.531,true
4194304,262144,false,true,true,5,26383,2363.586,6887.405,5761.757,4767.603,true
4194304,262144,true,true,true,1,26415,3315.680,9680.508,7059.367,6005.951,true
4194304,262144,true,true,true,2,26415,3440.033,9830.809,6972.726,5895.129,true
4194304,262144,true,true,true,3,26415,3196.919,9853.389,6957.976,5884.940,true
4194304,262144,true,true,true,4,26415,3143.448,9722.698,6865.524,5725.967,true
4194304,262144,true,true,true,5,26415,3139.738,10095.033,6993.266,5393.862,true
