case,metric,main_us,branch_us,paired_change_pct,low95_pct,high95_pct,pairs
signed/false/stream,open,1227.661,1277.952,4.279,3.546,4.472,25
signed/false/stream,read,17.500,17.490,-0.057,-0.290,0.339,25
signed/false/stream,total,1258.222,1307.003,3.794,3.004,3.993,25
signed/false/stream-content,open,1226.641,1276.913,4.392,3.375,4.581,25
signed/false/stream-content,read,17.791,17.830,0.167,-0.446,0.331,25
signed/false/stream-content,total,1257.392,1305.292,3.888,3.018,4.444,25
signed/false/whole,open,1230.181,1279.793,3.888,3.440,4.182,25
signed/false/whole,read,1.401,1.390,-1.379,-2.708,0.000,25
signed/false/whole,total,1244.262,1289.763,3.586,3.125,4.220,25
signed/true/range,open,1249.442,1296.343,3.928,3.481,4.142,25
signed/true/range,read,1.420,1.440,1.389,0.000,2.878,25
signed/true/range,total,1263.892,1306.983,3.617,3.172,3.842,25
signed/true/stream,open,1251.092,1298.063,3.446,3.114,3.841,25
signed/true/stream,read,17.501,17.500,-0.057,-0.340,0.171,25
signed/true/stream,total,1281.152,1325.184,3.123,2.721,3.546,25
signed/true/stream-content,open,1252.572,1293.092,3.277,2.911,3.827,25
signed/true/stream-content,read,17.830,17.850,0.050,-0.224,0.444,25
signed/true/stream-content,total,1283.432,1320.033,2.816,2.578,3.481,25
signed/true/whole,open,1250.001,1299.413,3.910,3.254,4.206,25
signed/true/whole,read,1.420,1.390,-0.743,-2.113,0.690,25
signed/true/whole,total,1264.712,1309.872,3.492,2.951,3.857,25
