phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
stream,plain,false,8388608,pattern,3,202.973,14875.048,17171.458,8659328
range,encrypted-signed,false,8388608,pattern,3,979.403,10000.096,14080.968,8673664
range,plain,true,8388608,pattern,3,225.453,2700.304,2957.708,312704
stream,encrypted,true,8388608,pattern,3,202.142,6750.926,6992.778,312704
whole,encrypted,false,8388608,pattern,3,208.943,27511.397,32069.095,8659328
range,signed,false,8388608,pattern,3,19985.483,1037.553,23116.542,8673664
range,encrypted,true,8388608,pattern,3,251.223,1305.527,1579.230,312704
range,plain,false,8388608,pattern,3,160.903,5264.316,6971.529,8659328
whole,signed,true,8388608,pattern,3,7915.360,9792.024,17759.525,322944
whole,plain,false,8388608,pattern,3,202.443,20870.684,24926.116,8659328
whole,plain,true,8388608,pattern,3,229.603,14181.020,14459.543,312704
stream,encrypted-signed,true,8388608,pattern,3,1026.983,5104.654,6172.618,322944
stream,signed,true,8388608,pattern,3,7890.850,4983.893,12918.364,322944
stream,plain,true,8388608,pattern,3,220.953,5130.695,5393.339,312704
range,encrypted,false,8388608,pattern,3,217.003,9867.615,13330.479,8659328
range,signed,true,8388608,pattern,3,9503.360,1161.905,10712.535,322944
whole,encrypted-signed,true,8388608,pattern,3,1013.203,13054.305,14122.088,322944
stream,signed,false,8388608,pattern,3,15768.579,4756.090,22654.447,8673664
range,encrypted-signed,true,8388608,pattern,3,1046.013,1318.567,2392.490,322944
whole,encrypted-signed,false,8388608,pattern,3,923.521,26080.260,31341.926,8673664
whole,signed,false,8388608,pattern,3,20021.373,14637.295,38140.972,8673664
stream,encrypted-signed,false,8388608,pattern,3,987.432,18934.450,23574.688,8673664
stream,encrypted,true,8388608,pattern,4,245.573,8345.315,8637.189,312704
range,encrypted-signed,true,8388608,pattern,4,1010.812,1266.297,2302.759,322944
stream,plain,false,8388608,pattern,4,166.122,11850.370,14103.199,8659328
range,signed,false,8388608,pattern,4,15877.281,1037.713,19016.741,8673664
whole,encrypted,true,8388608,pattern,4,248.093,9828.095,10121.688,312704
range,encrypted-signed,false,8388608,pattern,4,972.832,9746.714,13796.684,8673664
whole,encrypted-signed,false,8388608,pattern,4,981.033,30755.509,36133.777,8673664
range,plain,false,8388608,pattern,4,204.462,9484.480,11255.952,8659328
range,encrypted,false,8388608,pattern,4,200.862,9750.734,13046.595,8659328
stream,plain,true,8388608,pattern,4,227.513,8076.022,8345.696,312704
stream,signed,true,8388608,pattern,4,7780.809,4913.682,12753.822,322944
whole,encrypted,false,8388608,pattern,4,204.033,27339.415,31879.083,8659328
stream,signed,false,8388608,pattern,4,19495.497,4694.669,26265.362,8673664
range,encrypted,true,8388608,pattern,4,244.713,1288.286,1554.590,312704
stream,encrypted,false,8388608,pattern,4,183.932,15656.418,19438.166,8659328
whole,plain,false,8388608,pattern,4,183.403,24357.838,28358.609,8659328
range,signed,true,8388608,pattern,4,9405.749,1140.444,10602.334,322944
stream,encrypted-signed,false,8388608,pattern,4,971.292,18689.236,23257.154,8673664
range,plain,true,8388608,pattern,4,211.763,2669.954,2905.727,312704
whole,signed,true,8388608,pattern,4,7770.838,12438.218,20260.516,322944
whole,plain,true,8388608,pattern,4,216.613,9336.788,9595.162,312704
stream,encrypted-signed,true,8388608,pattern,4,1013.463,4977.503,6028.226,322944
whole,signed,false,8388608,pattern,4,15467.636,14552.174,33499.894,8673664
whole,encrypted-signed,true,8388608,pattern,4,1028.323,12873.373,13946.987,322944
stream,encrypted-signed,true,8388608,pattern,5,1010.293,5106.365,6159.438,322944
whole,plain,true,8388608,pattern,5,214.473,9882.255,10142.408,312704
range,encrypted-signed,true,8388608,pattern,5,1015.813,1244.296,2284.479,322944
stream,plain,true,8388608,pattern,5,185.562,5120.505,5345.528,312704
range,encrypted,false,8388608,pattern,5,214.853,9973.066,13322.669,8659328
stream,encrypted-signed,false,8388608,pattern,5,1004.533,20584.930,25265.530,8673664
stream,plain,false,8388608,pattern,5,226.373,15240.712,17599.482,8659328
stream,encrypted,true,8388608,pattern,5,262.993,5242.117,5550.580,312704
stream,signed,true,8388608,pattern,5,7879.930,5011.303,12935.894,322944
whole,encrypted-signed,true,8388608,pattern,5,1019.462,10128.429,11214.111,322944
range,encrypted,true,8388608,pattern,5,259.683,1339.977,1625.261,312704
range,plain,true,8388608,pattern,5,192.413,1187.455,1399.858,312704
stream,signed,false,8388608,pattern,5,15969.002,4866.152,22963.191,8673664
range,encrypted-signed,false,8388608,pattern,5,1022.693,10311.351,14474.233,8673664
range,signed,true,8388608,pattern,5,9473.050,1160.035,10681.215,322944
range,signed,false,8388608,pattern,5,18866.489,1037.773,21995.648,8673664
whole,plain,false,8388608,pattern,5,204.663,20640.251,24692.803,8659328
stream,encrypted,false,8388608,pattern,5,235.023,20407.898,24255.667,8659328
whole,encrypted,false,8388608,pattern,5,208.252,30087.151,34636.378,8659328
whole,encrypted,true,8388608,pattern,5,259.304,14301.601,14606.345,312704
range,plain,false,8388608,pattern,5,199.322,5360.718,7118.730,8659328
whole,signed,false,8388608,pattern,5,15745.279,14750.886,34064.551,8673664
whole,encrypted-signed,false,8388608,pattern,5,1022.693,29458.993,34849.871,8673664
whole,signed,true,8388608,pattern,5,9504.671,12941.973,22497.405,322944
stream,encrypted-signed,false,8388608,pattern,6,978.892,15930.541,20556.840,8673664
whole,plain,false,8388608,pattern,6,209.793,25415.781,29510.684,8659328
range,encrypted,true,8388608,pattern,6,264.104,2828.515,3124.120,312704
range,encrypted-signed,false,8388608,pattern,6,961.492,12816.253,16936.005,8673664
stream,encrypted-signed,true,8388608,pattern,6,1034.303,8307.325,9387.989,322944
