files,bytes_per_file,compressed,mode,profile,access,zip_ms,lockbox_ms,lockbox_over_zip,zip_open_ms,zip_read_ms,lockbox_open_ms,lockbox_read_ms,zip_bytes,lockbox_bytes,corpus
512,4096,true,encrypted,ReadMostly,stream,11.341,5.297,0.467,4.895,6.421,1.029,4.047,237078,269632,pattern
512,4096,true,encrypted,ReadMostly,random,11.908,6.083,0.511,4.917,6.919,1.056,4.620,237078,269632,pattern
512,4096,true,signed,Interactive,stream,11.642,10.698,0.919,4.974,6.618,7.018,3.389,237078,279872,pattern
512,4096,true,signed,Interactive,random,11.903,11.172,0.939,4.996,7.001,7.272,3.855,237078,279872,pattern
512,4096,true,signed,ReadMostly,stream,12.255,11.596,0.946,5.141,7.049,7.327,3.772,237078,279872,pattern
512,4096,true,signed,ReadMostly,random,12.014,11.783,0.981,4.947,7.034,7.150,4.295,237078,279872,pattern
512,4096,true,encrypted-signed,Interactive,stream,10.794,6.251,0.579,4.676,6.242,2.126,3.781,237078,279872,pattern
512,4096,true,encrypted-signed,Interactive,random,11.594,6.552,0.565,4.823,6.752,2.154,4.189,237078,279872,pattern
512,4096,true,encrypted-signed,ReadMostly,stream,10.694,4.961,0.464,4.941,6.219,1.490,3.276,237078,279872,pattern
512,4096,true,encrypted-signed,ReadMostly,random,11.913,7.161,0.601,4.709,7.117,2.120,4.660,237078,279872,pattern
4,1048576,true,plain,Interactive,stream,1.345,1.224,0.910,0.058,1.286,0.143,1.060,56150,11584,pattern
4,1048576,true,plain,Interactive,random,1.345,1.329,0.988,0.059,1.284,0.148,1.165,56150,11584,pattern
4,1048576,true,plain,Interactive,range,2.023,1.087,0.538,0.056,1.964,0.137,0.930,56150,11584,pattern
4,1048576,true,plain,ReadMostly,stream,1.359,1.609,1.184,0.057,1.298,0.159,1.262,56150,11584,pattern
4,1048576,true,plain,ReadMostly,random,1.381,1.703,1.233,0.060,1.319,0.164,1.353,56150,11584,pattern
4,1048576,true,plain,ReadMostly,range,1.997,1.403,0.702,0.055,1.939,0.145,1.089,56150,11584,pattern
4,1048576,true,encrypted,Interactive,stream,1.352,1.122,0.830,0.057,1.293,0.140,0.963,56150,11584,pattern
4,1048576,true,encrypted,Interactive,random,1.338,1.352,1.010,0.065,1.271,0.154,1.178,56150,11584,pattern
4,1048576,true,encrypted,Interactive,range,2.033,1.107,0.545,0.056,1.976,0.145,0.944,56150,11584,pattern
4,1048576,true,encrypted,ReadMostly,stream,1.345,1.569,1.167,0.058,1.284,0.165,1.231,56150,11584,pattern
4,1048576,true,encrypted,ReadMostly,random,1.351,1.624,1.202,0.057,1.291,0.141,1.314,56150,11584,pattern
4,1048576,true,encrypted,ReadMostly,range,2.028,1.375,0.678,0.055,1.955,0.154,1.086,56150,11584,pattern
4,1048576,true,signed,Interactive,stream,1.348,5.177,3.840,0.058,1.287,4.223,1.050,56150,21824,pattern
4,1048576,true,signed,Interactive,random,1.357,5.929,4.368,0.058,1.295,4.706,1.230,56150,21824,pattern
4,1048576,true,signed,Interactive,range,1.938,4.558,2.352,0.054,1.881,3.857,0.689,56150,21824,pattern
4,1048576,true,signed,ReadMostly,stream,1.287,6.376,4.956,0.056,1.228,4.782,1.398,56150,21824,pattern
4,1048576,true,signed,ReadMostly,random,1.385,6.478,4.678,0.059,1.323,4.788,1.465,56150,21824,pattern
4,1048576,true,signed,ReadMostly,range,2.059,6.028,2.928,0.056,1.995,4.655,1.151,56150,21824,pattern
4,1048576,true,encrypted-signed,Interactive,stream,1.395,2.403,1.723,0.060,1.332,1.263,1.115,56150,21824,pattern
4,1048576,true,encrypted-signed,Interactive,random,0.972,2.506,2.578,0.039,0.920,1.249,1.217,56150,21824,pattern
4,1048576,true,encrypted-signed,Interactive,range,2.072,2.180,1.052,0.056,2.018,1.236,0.906,56150,21824,pattern
4,1048576,true,encrypted-signed,ReadMostly,stream,1.372,2.759,2.011,0.059,1.311,1.266,1.307,56150,21824,pattern
4,1048576,true,encrypted-signed,ReadMostly,random,1.369,2.902,2.119,0.059,1.307,1.272,1.442,56150,21824,pattern
4,1048576,true,encrypted-signed,ReadMostly,range,1.987,2.524,1.270,0.054,1.933,1.232,1.137,56150,21824,pattern
