size,block,encrypted,signed,compressed,repeat,bytes,write_us,open_us,whole_us,range_us,compression_requested,storage,corpus
4194304,65536,false,false,false,4,4196469,20841.885,70.761,2919.142,142.042,true,file,random
4194304,65536,false,false,false,5,4196469,20228.996,59.750,2819.682,119.232,true,file,random
4194304,65536,true,false,false,1,4197509,22364.796,57.861,5316.918,150.342,true,file,random
4194304,65536,true,false,false,2,4197509,39587.488,76.831,5343.868,155.152,true,file,random
4194304,65536,true,false,false,3,4197509,21160.698,57.051,5361.429,166.292,true,file,random
4194304,65536,true,false,false,4,4197509,22319.786,68.631,5520.050,179.563,true,file,random
4194304,65536,true,false,false,5,4197509,20903.116,65.271,5830.375,197.123,true,file,random
4194304,65536,false,true,false,1,4196469,19356.932,4853.701,2492.046,104.082,true,file,random
4194304,65536,false,true,false,2,4196469,18594.001,4907.442,2490.586,112.602,true,file,random
4194304,65536,false,true,false,3,4196469,16409.689,4913.712,2481.676,96.961,true,file,random
4194304,65536,false,true,false,4,4196469,19344.462,4853.431,2483.976,102.732,true,file,random
4194304,65536,false,true,false,5,4196469,19565.286,5081.544,2529.427,99.611,true,file,random
4194304,65536,true,true,false,1,4197509,39926.283,7630.692,5174.685,152.782,true,file,random
4194304,65536,true,true,false,2,4197509,19099.199,7469.469,5019.753,140.112,true,file,random
4194304,65536,true,true,false,3,4197509,21139.569,7256.486,5006.633,137.442,true,file,random
4194304,65536,true,true,false,4,4197509,21512.114,7229.996,5007.223,137.962,true,file,random
4194304,65536,true,true,false,5,4197509,20699.842,7268.456,4985.853,140.232,true,file,random
4194304,262144,false,false,false,1,4194933,12923.209,28.281,4147.800,335.485,false,file,random
4194304,262144,false,false,false,2,4194933,13133.692,24.120,4090.780,393.136,false,file,random
4194304,262144,false,false,false,3,4194933,13415.466,23.990,4123.211,349.516,false,file,random
4194304,262144,false,false,false,4,4194933,13836.092,43.421,4185.881,365.865,false,file,random
4194304,262144,false,false,false,5,4194933,14051.646,37.850,4158.321,353.175,false,file,random
4194304,262144,true,false,false,1,4195205,16126.566,54.501,7039.893,612.319,false,file,random
4194304,262144,true,false,false,2,4195205,16534.142,51.221,6713.818,553.018,false,file,random
4194304,262144,true,false,false,3,4195205,17471.605,67.681,7070.613,640.519,false,file,random
4194304,262144,true,false,false,4,4195205,16593.042,83.992,7887.615,658.530,false,file,random
4194304,262144,true,false,false,5,4195205,16524.522,56.970,6796.900,526.118,false,file,random
4194304,262144,false,true,false,1,4194933,14292.369,6530.905,2702.520,390.866,false,file,random
4194304,262144,false,true,false,2,4194933,11168.904,6382.383,2554.417,352.355,false,file,random
4194304,262144,false,true,false,3,4194933,13784.141,6634.047,2726.190,372.215,false,file,random
4194304,262144,false,true,false,4,4194933,13215.013,6335.142,2517.707,354.925,false,file,random
4194304,262144,false,true,false,5,4194933,34045.947,6739.628,2543.798,349.375,false,file,random
4194304,262144,true,true,false,1,4195205,50496.978,9814.573,4994.733,536.568,false,file,random
4194304,262144,true,true,false,2,4195205,51715.815,9687.592,4944.962,505.808,false,file,random
4194304,262144,true,true,false,3,4195205,54407.935,8826.818,4970.543,516.977,false,file,random
4194304,262144,true,true,false,4,4195205,54504.016,9119.633,4963.832,507.507,false,file,random
4194304,262144,true,true,false,5,4195205,52577.028,10474.513,5117.905,546.328,false,file,random
4194304,262144,false,false,false,1,4194933,19424.874,43.170,2703.580,347.566,true,file,random
4194304,262144,false,false,false,2,4194933,18018.763,61.511,2890.983,407.076,true,file,random
4194304,262144,false,false,false,3,4194933,19059.918,49.921,2723.070,351.215,true,file,random
4194304,262144,false,false,false,4,4194933,18284.697,42.411,2692.849,368.006,true,file,random
4194304,262144,false,false,false,5,4194933,18478.000,45.880,2766.021,353.785,true,file,random
4194304,262144,true,false,false,1,4195205,21367.352,42.860,5798.455,546.858,true,file,random
4194304,262144,true,false,false,2,4195205,19849.459,68.021,5444.730,535.367,true,file,random
4194304,262144,true,false,false,3,4195205,20672.262,34.281,5065.964,512.927,true,file,random
4194304,262144,true,false,false,4,4195205,21212.020,66.871,5369.218,557.989,true,file,random
4194304,262144,true,false,false,5,4195205,37551.228,59.381,5170.865,511.687,true,file,random
4194304,262144,false,true,false,1,4194933,17718.149,4851.240,2556.808,384.696,true,file,random
4194304,262144,false,true,false,2,4194933,18613.422,4871.271,2501.977,351.715,true,file,random
4194304,262144,false,true,false,3,4194933,20428.208,5141.426,2582.637,404.486,true,file,random
4194304,262144,false,true,false,4,4194933,19195.460,5003.743,2610.508,395.096,true,file,random
4194304,262144,false,true,false,5,4194933,19139.529,5103.805,2544.417,380.576,true,file,random
4194304,262144,true,true,false,1,4195205,21159.549,7537.720,5105.965,577.529,true,file,random
4194304,262144,true,true,false,2,4195205,20297.227,8240.180,5370.649,560.108,true,file,random
4194304,262144,true,true,false,3,4195205,20090.214,8272.860,5172.946,523.427,true,file,random
4194304,262144,true,true,false,4,4195205,38586.634,7666.352,6075.429,680.660,true,file,random
4194304,262144,true,true,false,5,4195205,22753.032,7656.032,5029.743,545.638,true,file,random
