corpus,size,level,repeat,strategy,fast_selected,stored_bytes,encode_us,decode_us
random,1048576,3,5,dual,false,1048609,2299.754,820.953
random,1048576,3,5,sampled,false,1048609,539.938,628.849
random,1048576,3,5,numeric,false,1048609,404.666,628.540
random,1048576,3,6,dual,false,1048609,1988.580,797.912
random,1048576,3,6,sampled,false,1048609,540.148,629.570
random,1048576,3,6,numeric,false,1048609,381.946,627.529
random,1048576,3,6,fast,true,1048610,678.080,691.200
random,1048576,3,7,sampled,false,1048609,901.003,627.460
random,1048576,3,7,numeric,false,1048609,381.605,639.340
random,1048576,3,7,fast,true,1048610,677.770,706.701
random,1048576,3,7,dual,false,1048609,2373.145,940.535
mixed,1048576,3,1,fast,true,526561,29523.584,786.732
mixed,1048576,3,1,dual,true,526561,32235.785,580.799
mixed,1048576,3,1,sampled,false,531641,1961.910,848.353
mixed,1048576,3,1,numeric,false,531641,1603.294,849.463
mixed,1048576,3,2,dual,true,526561,31990.572,582.619
mixed,1048576,3,2,sampled,false,531641,1798.707,831.492
mixed,1048576,3,2,numeric,false,531641,1571.054,871.003
mixed,1048576,3,2,fast,true,526561,29688.097,784.432
mixed,1048576,3,3,sampled,false,531641,2046.550,915.494
mixed,1048576,3,3,numeric,false,531641,1624.384,886.843
mixed,1048576,3,3,fast,true,526561,29993.632,800.542
mixed,1048576,3,3,dual,true,526561,32315.957,582.688
mixed,1048576,3,4,numeric,false,531641,1799.987,847.723
mixed,1048576,3,4,fast,true,526561,29963.571,758.132
mixed,1048576,3,4,dual,true,526561,32255.906,568.328
mixed,1048576,3,4,sampled,false,531641,2136.742,951.054
mixed,1048576,3,5,fast,true,526561,30389.118,783.582
mixed,1048576,3,5,dual,true,526561,33975.372,636.029
mixed,1048576,3,5,sampled,false,531641,1756.156,830.553
mixed,1048576,3,5,numeric,false,531641,1563.124,846.962
mixed,1048576,3,6,dual,true,526561,32878.725,610.609
mixed,1048576,3,6,sampled,false,531641,1986.110,873.834
mixed,1048576,3,6,numeric,false,531641,1580.524,835.882
mixed,1048576,3,6,fast,true,526561,29931.190,775.762
mixed,1048576,3,7,sampled,false,531641,1968.660,860.323
mixed,1048576,3,7,numeric,false,531641,1560.044,837.832
mixed,1048576,3,7,fast,true,526561,29578.716,752.941
mixed,1048576,3,7,dual,true,526561,32014.292,578.089
pattern-prefix,1048576,3,1,fast,true,787263,1067.026,683.330
pattern-prefix,1048576,3,1,dual,true,787263,3405.772,507.457
pattern-prefix,1048576,3,1,sampled,false,788562,1872.288,677.411
pattern-prefix,1048576,3,1,numeric,false,788562,1338.170,678.201
pattern-prefix,1048576,3,2,dual,true,787263,3038.035,518.178
pattern-prefix,1048576,3,2,sampled,false,788562,1886.709,679.370
pattern-prefix,1048576,3,2,numeric,false,788562,1339.981,673.700
pattern-prefix,1048576,3,2,fast,true,787263,1110.337,765.411
pattern-prefix,1048576,3,3,sampled,false,788562,2011.181,821.212
pattern-prefix,1048576,3,3,numeric,false,788562,1385.040,697.711
pattern-prefix,1048576,3,3,fast,true,787263,1103.847,709.121
pattern-prefix,1048576,3,3,dual,true,787263,3592.474,539.988
pattern-prefix,1048576,3,4,numeric,false,788562,1662.195,679.181
pattern-prefix,1048576,3,4,fast,true,787263,1079.537,697.420
pattern-prefix,1048576,3,4,dual,true,787263,3512.353,520.388
pattern-prefix,1048576,3,4,sampled,false,788562,1899.628,678.970
pattern-prefix,1048576,3,5,fast,true,787263,1098.027,697.020
pattern-prefix,1048576,3,5,dual,true,787263,3484.523,519.538
pattern-prefix,1048576,3,5,sampled,false,788562,1916.369,670.590
pattern-prefix,1048576,3,5,numeric,false,788562,1336.770,674.070
pattern-prefix,1048576,3,6,dual,true,787263,2999.665,513.078
pattern-prefix,1048576,3,6,sampled,false,788562,1880.338,678.621
pattern-prefix,1048576,3,6,numeric,false,788562,1337.330,677.070
pattern-prefix,1048576,3,6,fast,true,787263,1066.827,692.950
pattern-prefix,1048576,3,7,sampled,false,788562,1898.248,687.301
pattern-prefix,1048576,3,7,numeric,false,788562,1340.910,676.300
pattern-prefix,1048576,3,7,fast,true,787263,1068.436,689.230
pattern-prefix,1048576,3,7,dual,true,787263,3409.611,506.457
random-prefix,1048576,3,1,fast,true,263017,1947.969,827.633
