corpus,size,level,repeat,strategy,fast_selected,stored_bytes,encode_us,decode_us
random,1048576,6,5,dual,false,1048609,1067.706,126.792
random,1048576,6,5,sampled,false,1048609,538.738,127.052
random,1048576,6,5,numeric,false,1048609,356.505,133.062
random,1048576,6,6,dual,false,1048609,1076.857,149.192
random,1048576,6,6,sampled,false,1048609,538.108,131.982
random,1048576,6,6,numeric,false,1048609,361.776,141.252
random,1048576,6,6,fast,true,1048610,211.013,154.722
random,1048576,6,7,sampled,false,1048609,542.978,127.072
random,1048576,6,7,numeric,false,1048609,357.025,126.592
random,1048576,6,7,fast,true,1048610,214.813,138.763
random,1048576,6,7,dual,false,1048609,1068.606,126.872
mixed,1048576,6,1,fast,true,526561,28882.086,217.164
mixed,1048576,6,1,dual,true,526561,31772.639,248.774
mixed,1048576,6,1,sampled,false,530020,2744.311,332.635
mixed,1048576,6,1,numeric,false,530020,2459.657,324.615
mixed,1048576,6,2,dual,true,526561,31969.142,288.735
mixed,1048576,6,2,sampled,false,530020,2802.162,351.686
mixed,1048576,6,2,numeric,false,530020,2599.190,334.175
mixed,1048576,6,2,fast,true,526561,29302.592,311.565
mixed,1048576,6,3,sampled,false,530020,2863.323,340.556
mixed,1048576,6,3,numeric,false,530020,2556.278,336.595
mixed,1048576,6,3,fast,true,526561,29742.399,236.034
mixed,1048576,6,3,dual,true,526561,31676.888,197.133
mixed,1048576,6,4,numeric,false,530020,2467.087,331.585
mixed,1048576,6,4,fast,true,526561,28498.210,195.333
mixed,1048576,6,4,dual,true,526561,31650.028,197.643
mixed,1048576,6,4,sampled,false,530020,2712.091,325.755
mixed,1048576,6,5,fast,true,526561,28490.800,200.083
mixed,1048576,6,5,dual,true,526561,31371.263,235.164
mixed,1048576,6,5,sampled,false,530020,2716.491,330.495
mixed,1048576,6,5,numeric,false,530020,2459.827,342.715
mixed,1048576,6,6,dual,true,526561,31667.118,211.394
mixed,1048576,6,6,sampled,false,530020,2697.870,324.425
mixed,1048576,6,6,numeric,false,530020,2439.527,321.665
mixed,1048576,6,6,fast,true,526561,28644.372,222.344
mixed,1048576,6,7,sampled,false,530020,2723.451,325.025
mixed,1048576,6,7,numeric,false,530020,2425.076,321.685
mixed,1048576,6,7,fast,true,526561,28489.000,199.853
mixed,1048576,6,7,dual,true,526561,31405.324,203.513
