phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
stream,plain,false,8388608,pattern,3,193.742,14954.090,15617.028,8659328
range,encrypted-signed,false,8388608,pattern,3,1006.423,8807.002,11720.099,8673664
range,plain,true,8388608,pattern,3,229.173,2244.898,2492.751,312704
stream,encrypted,true,8388608,pattern,3,190.262,4074.272,4300.554,312704
whole,encrypted,false,8388608,pattern,3,198.682,25276.380,28021.015,8659328
range,signed,false,8388608,pattern,3,20029.353,1038.754,21548.323,8673664
range,encrypted,true,8388608,pattern,3,230.893,847.001,1090.504,312704
range,plain,false,8388608,pattern,3,153.542,5532.280,6043.557,8659328
whole,signed,true,8388608,pattern,3,8042.042,7904.020,15983.542,322944
whole,plain,false,8388608,pattern,3,197.003,19106.812,21316.200,8659328
whole,plain,true,8388608,pattern,3,227.083,11886.110,12152.244,312704
stream,encrypted-signed,true,8388608,pattern,3,1405.458,3744.968,5178.026,322944
stream,signed,true,8388608,pattern,3,8397.636,3512.215,11941.041,322944
stream,plain,true,8388608,pattern,3,215.122,3359.693,3600.535,312704
range,encrypted,false,8388608,pattern,3,208.632,8915.423,11155.191,8659328
range,signed,true,8388608,pattern,3,9625.562,718.499,10375.081,322944
whole,encrypted-signed,true,8388608,pattern,3,1007.332,11575.567,12625.750,322944
stream,signed,false,8388608,pattern,3,16329.237,4843.412,21510.993,8673664
range,encrypted-signed,true,8388608,pattern,3,1032.763,823.900,1870.793,322944
whole,encrypted-signed,false,8388608,pattern,3,917.191,21062.007,24412.439,8673664
whole,signed,false,8388608,pattern,3,20056.564,12889.733,35056.034,8673664
stream,encrypted-signed,false,8388608,pattern,3,1014.123,18178.310,21423.922,8673664
stream,encrypted,true,8388608,pattern,4,249.843,5835.334,6119.458,312704
range,encrypted-signed,true,8388608,pattern,4,1022.223,745.750,1779.403,322944
stream,plain,false,8388608,pattern,4,152.722,13012.195,13603.532,8659328
range,signed,false,8388608,pattern,4,16293.037,1062.193,17875.427,8673664
whole,encrypted,true,8388608,pattern,4,245.923,8770.931,9066.075,312704
range,encrypted-signed,false,8388608,pattern,4,987.622,8956.244,11879.490,8673664
whole,encrypted-signed,false,8388608,pattern,4,984.283,26331.933,29989.640,8673664
range,plain,false,8388608,pattern,4,196.112,10230.400,10763.076,8659328
range,encrypted,false,8388608,pattern,4,241.453,9868.545,12307.016,8659328
stream,plain,true,8388608,pattern,4,332.774,5869.294,6241.669,312704
stream,signed,true,8388608,pattern,4,8179.723,3544.225,11772.519,322944
whole,encrypted,false,8388608,pattern,4,207.423,25324.161,28186.538,8659328
stream,signed,false,8388608,pattern,4,21753.536,4830.021,27037.613,8673664
range,encrypted,true,8388608,pattern,4,395.015,966.282,1381.147,312704
stream,encrypted,false,8388608,pattern,4,253.153,15660.338,18037.818,8659328
whole,plain,false,8388608,pattern,4,226.753,24610.202,26941.982,8659328
