corpus,size,level,repeat,strategy,fast_selected,stored_bytes,encode_us,decode_us
pattern,1048576,1,1,fast,true,891,2263.814,639.020
pattern,1048576,1,1,dual,true,891,3659.975,990.625
pattern,1048576,1,1,sampled,false,6763,715.051,1209.998
pattern,1048576,1,1,numeric,false,6763,209.983,1184.408
pattern,1048576,1,2,dual,true,891,3344.961,997.555
pattern,1048576,1,2,sampled,false,6763,717.021,1209.839
pattern,1048576,1,2,numeric,false,6763,207.433,1184.788
pattern,1048576,1,2,fast,true,891,2380.156,627.439
pattern,1048576,1,3,sampled,false,6763,692.580,1229.579
pattern,1048576,1,3,numeric,false,6763,211.653,1186.257
pattern,1048576,1,3,fast,true,891,2283.535,638.549
pattern,1048576,1,3,dual,true,891,3448.742,395.796
pattern,1048576,1,4,numeric,false,6763,219.543,1228.269
pattern,1048576,1,4,fast,true,891,2272.455,635.649
pattern,1048576,1,4,dual,true,891,3463.042,400.906
pattern,1048576,1,4,sampled,false,6763,607.729,1237.039
pattern,1048576,1,5,fast,true,891,2422.577,639.850
pattern,1048576,1,5,dual,true,891,3458.432,393.866
pattern,1048576,1,5,sampled,false,6763,611.749,1225.858
pattern,1048576,1,5,numeric,false,6763,215.563,1183.578
pattern,1048576,1,6,dual,true,891,3103.387,393.985
pattern,1048576,1,6,sampled,false,6763,597.099,1233.138
pattern,1048576,1,6,numeric,false,6763,211.603,1195.658
pattern,1048576,1,6,fast,true,891,2443.266,637.890
pattern,1048576,1,7,sampled,false,6763,629.950,1226.508
pattern,1048576,1,7,numeric,false,6763,215.984,1201.438
pattern,1048576,1,7,fast,true,891,2382.635,710.601
pattern,1048576,1,7,dual,true,891,3393.531,391.036
zero,1048576,1,1,fast,true,42,694.310,723.661
zero,1048576,1,1,dual,true,42,1833.168,365.985
zero,1048576,1,1,sampled,true,42,769.412,717.871
zero,1048576,1,1,numeric,false,51,521.597,1884.668
zero,1048576,1,2,dual,true,42,1461.292,365.896
zero,1048576,1,2,sampled,true,42,765.491,714.421
zero,1048576,1,2,numeric,false,51,516.938,1869.348
zero,1048576,1,2,fast,true,42,448.176,606.999
zero,1048576,1,3,sampled,true,42,775.182,715.891
zero,1048576,1,3,numeric,false,51,518.648,1869.578
zero,1048576,1,3,fast,true,42,450.347,604.339
zero,1048576,1,3,dual,true,42,1815.947,359.626
zero,1048576,1,4,numeric,false,51,517.698,1864.568
zero,1048576,1,4,fast,true,42,446.706,609.600
zero,1048576,1,4,dual,true,42,1835.158,368.496
zero,1048576,1,4,sampled,true,42,767.351,716.871
zero,1048576,1,5,fast,true,42,700.271,711.940
zero,1048576,1,5,dual,true,42,1819.798,358.785
zero,1048576,1,5,sampled,true,42,750.641,722.621
zero,1048576,1,5,numeric,false,51,518.868,1879.838
zero,1048576,1,6,dual,true,42,1455.491,358.066
zero,1048576,1,6,sampled,true,42,768.811,733.401
zero,1048576,1,6,numeric,false,51,520.898,1875.168
zero,1048576,1,6,fast,true,42,448.097,606.999
zero,1048576,1,7,sampled,true,42,762.741,714.851
zero,1048576,1,7,numeric,false,51,518.648,1883.148
zero,1048576,1,7,fast,true,42,446.547,605.469
zero,1048576,1,7,dual,true,42,1820.138,366.325
text,1048576,1,1,fast,true,164,5184.858,692.621
text,1048576,1,1,dual,true,164,6035.961,463.827
text,1048576,1,1,sampled,false,169,407.856,1148.417
text,1048576,1,1,numeric,false,169,68.391,1088.477
text,1048576,1,2,dual,true,164,5810.008,457.197
text,1048576,1,2,sampled,false,169,424.446,1151.597
text,1048576,1,2,numeric,false,169,68.901,1092.936
