scenario,position,variant,files,bytes_per_file,compressed,mode,profile,access,zip_ms,lockbox_ms,lockbox_over_zip,zip_open_ms,zip_read_ms,lockbox_open_ms,lockbox_read_ms,zip_bytes,lockbox_bytes,corpus
64m-pattern,3,experimental,4,67108864,true,plain,Interactive,random,59.965,354.667,5.915,0.056,59.900,0.350,354.267,3479856,1967488,pattern
64m-pattern,3,experimental,4,67108864,true,plain,Interactive,range,79.500,48.037,0.604,0.056,79.439,0.495,47.598,3479856,1967488,pattern
64m-pattern,3,experimental,4,67108864,true,plain,ReadMostly,stream,63.537,324.015,5.100,0.055,63.477,0.354,323.611,3479856,1967488,pattern
64m-pattern,3,experimental,4,67108864,true,plain,ReadMostly,random,59.198,348.432,5.886,0.053,59.139,0.355,347.991,3479856,1967488,pattern
64m-pattern,3,experimental,4,67108864,true,plain,ReadMostly,range,75.590,39.220,0.519,0.042,75.545,0.313,38.863,3479856,1967488,pattern
64m-pattern,4,existing,4,67108864,false,plain,Interactive,stream,67.616,403.799,5.972,0.052,67.519,0.313,389.293,268435902,268757376,pattern
64m-pattern,4,existing,4,67108864,false,plain,Interactive,random,89.001,391.470,4.398,0.059,88.938,0.323,378.395,268435902,268757376,pattern
64m-pattern,4,existing,4,67108864,false,plain,Interactive,range,0.119,65.340,550.411,0.039,0.079,0.287,60.830,268435902,268757376,pattern
64m-pattern,4,existing,4,67108864,false,plain,ReadMostly,stream,84.805,441.806,5.210,0.057,84.745,0.365,423.884,268435902,268757376,pattern
64m-pattern,4,existing,4,67108864,false,plain,ReadMostly,random,84.732,365.269,4.311,0.058,84.668,0.359,356.111,268435902,268757376,pattern
64m-pattern,4,existing,4,67108864,false,plain,ReadMostly,range,0.124,65.750,528.361,0.042,0.082,0.299,61.306,268435902,268757376,pattern
64m-pattern,4,existing,4,67108864,true,plain,Interactive,stream,58.133,99.402,1.710,0.050,58.078,0.309,98.947,3479856,1846656,pattern
64m-pattern,4,existing,4,67108864,true,plain,Interactive,random,58.880,104.871,1.781,0.051,58.823,0.322,104.412,3479856,1846656,pattern
64m-pattern,4,existing,4,67108864,true,plain,Interactive,range,73.970,12.529,0.169,0.043,73.927,0.256,12.213,3479856,1846656,pattern
64m-pattern,4,existing,4,67108864,true,plain,ReadMostly,stream,58.645,120.393,2.053,0.053,58.584,0.367,115.850,3479856,1846656,pattern
64m-pattern,4,existing,4,67108864,true,plain,ReadMostly,random,58.361,126.266,2.164,0.055,58.300,0.380,121.645,3479856,1846656,pattern
64m-pattern,4,existing,4,67108864,true,plain,ReadMostly,range,75.508,16.661,0.221,0.049,75.463,0.364,14.022,3479856,1846656,pattern
8m-random,1,existing,4,8388608,false,plain,Interactive,stream,8.395,49.138,5.853,0.051,8.337,0.229,45.732,33554878,33832320,random
8m-random,1,existing,4,8388608,false,plain,Interactive,random,8.437,48.347,5.730,0.051,8.382,0.227,45.114,33554878,33832320,random
8m-random,1,existing,4,8388608,false,plain,Interactive,range,0.107,46.931,438.677,0.039,0.066,0.230,43.571,33554878,33832320,random
8m-random,1,existing,4,8388608,false,plain,ReadMostly,stream,8.461,56.852,6.720,0.051,8.405,0.226,50.826,33554878,33832320,random
8m-random,1,existing,4,8388608,false,plain,ReadMostly,random,8.458,43.693,5.166,0.051,8.401,0.229,41.417,33554878,33832320,random
8m-random,1,existing,4,8388608,false,plain,ReadMostly,range,0.136,40.440,298.163,0.048,0.080,0.231,38.324,33554878,33832320,random
8m-random,1,existing,4,8388608,true,plain,Interactive,stream,18.458,44.104,2.389,0.045,18.409,0.257,41.915,33565138,33831296,random
8m-random,1,existing,4,8388608,true,plain,Interactive,random,18.318,42.710,2.332,0.046,18.268,0.261,40.599,33565138,33831296,random
8m-random,1,existing,4,8388608,true,plain,Interactive,range,25.263,40.647,1.609,0.035,25.227,0.261,38.550,33565138,33831296,random
8m-random,1,existing,4,8388608,true,plain,ReadMostly,stream,18.462,57.612,3.120,0.046,18.411,0.256,51.481,33565138,33831296,random
8m-random,1,existing,4,8388608,true,plain,ReadMostly,random,18.690,43.532,2.329,0.046,18.633,0.271,41.433,33565138,33831296,random
8m-random,1,existing,4,8388608,true,plain,ReadMostly,range,26.459,42.124,1.592,0.044,26.410,0.272,39.872,33565138,33831296,random
8m-random,2,experimental,4,8388608,false,plain,Interactive,stream,8.757,22.306,2.547,0.052,8.702,0.170,22.115,33554878,33908096,random
8m-random,2,experimental,4,8388608,false,plain,Interactive,random,8.518,28.713,3.371,0.049,8.464,0.166,28.523,33554878,33908096,random
8m-random,2,experimental,4,8388608,false,plain,Interactive,range,0.107,0.925,8.638,0.037,0.069,0.141,0.768,33554878,33908096,random
8m-random,2,experimental,4,8388608,false,plain,ReadMostly,stream,8.589,22.172,2.581,0.050,8.529,0.165,21.981,33554878,33908096,random
