corpus,size,level,repeat,strategy,fast_selected,stored_bytes,encode_us,decode_us
text,1048576,3,3,stream-better,true,164,5326.230,823.373
text,1048576,3,3,numeric,false,168,324.525,767.202
text,1048576,3,3,fast,true,164,5315.450,685.660
text,1048576,3,3,dual,true,164,6183.683,454.937
text,1048576,3,4,stream-default,true,164,5328.330,825.092
text,1048576,3,4,stream-better,true,164,5352.911,821.722
text,1048576,3,4,numeric,false,168,311.335,776.111
text,1048576,3,4,fast,true,164,5114.307,691.361
text,1048576,3,4,dual,true,164,6124.872,459.307
text,1048576,3,4,sampled,false,168,663.960,774.671
text,1048576,3,5,stream-better,true,164,5154.238,683.160
text,1048576,3,5,numeric,false,168,314.034,765.922
text,1048576,3,5,fast,true,164,5157.557,684.871
text,1048576,3,5,dual,true,164,6132.913,458.087
text,1048576,3,5,sampled,false,168,675.000,769.222
text,1048576,3,5,stream-default,true,164,5127.537,683.490
text,1048576,3,6,numeric,false,168,317.625,776.451
text,1048576,3,6,fast,true,164,5148.478,686.110
text,1048576,3,6,dual,true,164,6105.552,463.747
text,1048576,3,6,sampled,false,168,658.840,778.982
text,1048576,3,6,stream-default,true,164,5178.338,692.310
text,1048576,3,6,stream-better,true,164,5377.521,819.992
text,1048576,3,7,fast,true,164,5380.291,815.612
text,1048576,3,7,dual,true,164,6189.643,461.777
text,1048576,3,7,sampled,false,168,676.070,777.002
text,1048576,3,7,stream-default,true,164,5173.587,689.051
text,1048576,3,7,stream-better,true,164,5441.981,834.752
text,1048576,3,7,numeric,false,168,312.475,792.062
random,1048576,3,1,fast,true,1048610,1019.565,676.031
random,1048576,3,1,dual,false,1048609,2252.504,790.441
random,1048576,3,1,sampled,false,1048609,518.458,613.089
random,1048576,3,1,stream-default,true,1048610,628.369,666.110
random,1048576,3,1,stream-better,true,1048610,1005.095,663.290
random,1048576,3,1,numeric,false,1048609,731.901,616.049
random,1048576,3,2,dual,false,1048609,1899.348,794.072
random,1048576,3,2,sampled,false,1048609,525.208,604.929
random,1048576,3,2,stream-default,true,1048610,646.849,689.651
random,1048576,3,2,stream-better,true,1048610,995.345,676.170
random,1048576,3,2,numeric,false,1048609,741.671,604.819
random,1048576,3,2,fast,true,1048610,653.569,673.711
random,1048576,3,3,sampled,false,1048609,879.523,610.270
random,1048576,3,3,stream-default,true,1048610,636.330,662.200
random,1048576,3,3,stream-better,true,1048610,989.865,662.449
random,1048576,3,3,numeric,false,1048609,734.461,611.999
random,1048576,3,3,fast,true,1048610,662.100,660.250
random,1048576,3,3,dual,false,1048609,2229.443,794.312
random,1048576,3,4,stream-default,true,1048610,645.430,687.440
random,1048576,3,4,stream-better,true,1048610,996.125,675.850
random,1048576,3,4,numeric,false,1048609,734.431,619.749
random,1048576,3,4,fast,true,1048610,665.010,670.500
random,1048576,3,4,dual,false,1048609,2231.374,782.351
random,1048576,3,4,sampled,false,1048609,517.438,622.039
random,1048576,3,5,stream-better,true,1048610,631.479,673.150
random,1048576,3,5,numeric,false,1048609,728.891,613.509
random,1048576,3,5,fast,true,1048610,662.260,666.790
random,1048576,3,5,dual,false,1048609,2235.714,789.231
random,1048576,3,5,sampled,false,1048609,521.578,604.899
random,1048576,3,5,stream-default,true,1048610,633.969,667.900
random,1048576,3,6,numeric,false,1048609,735.971,602.169
random,1048576,3,6,fast,true,1048610,661.990,673.480
random,1048576,3,6,dual,false,1048609,2229.024,789.472
random,1048576,3,6,sampled,false,1048609,527.187,616.800
random,1048576,3,6,stream-default,true,1048610,622.509,675.670
random,1048576,3,6,stream-better,true,1048610,990.825,670.540
random,1048576,3,7,fast,true,1048610,1014.005,672.750
random,1048576,3,7,dual,false,1048609,2237.023,790.502
random,1048576,3,7,sampled,false,1048609,525.748,612.279
random,1048576,3,7,stream-default,true,1048610,633.479,673.780
random,1048576,3,7,stream-better,true,1048610,1011.505,675.491
random,1048576,3,7,numeric,false,1048609,737.622,618.489
mixed,1048576,3,1,fast,true,526561,29331.891,753.492
mixed,1048576,3,1,dual,true,526561,31673.646,577.379
mixed,1048576,3,1,sampled,false,531641,1935.489,833.543
mixed,1048576,3,1,stream-default,true,528574,22230.314,838.822
mixed,1048576,3,1,stream-better,true,528574,22523.488,832.493
mixed,1048576,3,1,numeric,false,531641,1798.487,840.913
mixed,1048576,3,2,dual,true,526561,31003.556,568.819
mixed,1048576,3,2,sampled,false,531641,1931.169,831.243
mixed,1048576,3,2,stream-default,true,528574,22022.492,847.702
mixed,1048576,3,2,stream-better,true,528574,22552.519,826.453
mixed,1048576,3,2,numeric,false,531641,1776.547,833.442
mixed,1048576,3,2,fast,true,526561,28572.010,756.281
mixed,1048576,3,3,sampled,false,531641,1959.889,840.793
mixed,1048576,3,3,stream-default,true,528574,22525.319,938.964
mixed,1048576,3,3,stream-better,true,528574,23101.807,945.405
mixed,1048576,3,3,numeric,false,531641,1823.298,845.292
mixed,1048576,3,3,fast,true,526561,28977.656,755.632
mixed,1048576,3,3,dual,true,526561,31514.204,594.219
mixed,1048576,3,4,stream-default,true,528574,22682.531,836.263
mixed,1048576,3,4,stream-better,true,528574,22776.562,838.003
mixed,1048576,3,4,numeric,false,531641,1792.787,846.313
mixed,1048576,3,4,fast,true,526561,29139.738,783.072
mixed,1048576,3,4,dual,true,526561,31554.504,582.949
mixed,1048576,3,4,sampled,false,531641,1947.300,845.442
mixed,1048576,3,5,stream-better,true,528574,22364.567,874.473
mixed,1048576,3,5,numeric,false,531641,1771.747,845.612
mixed,1048576,3,5,fast,true,526561,28913.795,833.603
mixed,1048576,3,5,dual,true,526561,31712.017,602.829
mixed,1048576,3,5,sampled,false,531641,1961.509,853.763
mixed,1048576,3,5,stream-default,true,528574,22246.685,901.153
mixed,1048576,3,6,numeric,false,531641,1789.127,881.633
mixed,1048576,3,6,fast,true,526561,29016.496,756.442
mixed,1048576,3,6,dual,true,526561,31923.560,586.819
mixed,1048576,3,6,sampled,false,531641,1952.829,851.333
mixed,1048576,3,6,stream-default,true,528574,22184.814,823.693
mixed,1048576,3,6,stream-better,true,528574,22617.200,835.573
mixed,1048576,3,7,fast,true,526561,29398.342,754.241
mixed,1048576,3,7,dual,true,526561,31709.107,576.619
mixed,1048576,3,7,sampled,false,531641,1937.189,843.983
mixed,1048576,3,7,stream-default,true,528574,22348.306,842.303
mixed,1048576,3,7,stream-better,true,528574,22997.385,849.903
mixed,1048576,3,7,numeric,false,531641,1776.567,858.563
pattern-prefix,1048576,3,1,fast,true,787263,1351.981,858.673
pattern-prefix,1048576,3,1,dual,true,787263,3614.545,524.208
pattern-prefix,1048576,3,1,sampled,false,788562,1897.699,681.900
pattern-prefix,1048576,3,1,stream-default,true,788350,1133.098,902.523
pattern-prefix,1048576,3,1,stream-better,true,788350,1517.493,927.294
pattern-prefix,1048576,3,1,numeric,false,788562,1664.705,671.750
pattern-prefix,1048576,3,2,dual,true,787263,2955.825,501.897
pattern-prefix,1048576,3,2,sampled,false,788562,1893.448,666.490
pattern-prefix,1048576,3,2,stream-default,true,788350,1124.227,899.263
pattern-prefix,1048576,3,2,stream-better,true,788350,1476.022,902.404
pattern-prefix,1048576,3,2,numeric,false,788562,1651.415,673.160
pattern-prefix,1048576,3,2,fast,true,787263,994.495,902.773
pattern-prefix,1048576,3,3,sampled,false,788562,1885.899,676.670
pattern-prefix,1048576,3,3,stream-default,true,788350,1126.337,893.024
pattern-prefix,1048576,3,3,stream-better,true,788350,1482.262,919.824
pattern-prefix,1048576,3,3,numeric,false,788562,1655.435,677.160
pattern-prefix,1048576,3,3,fast,true,787263,990.955,858.013
pattern-prefix,1048576,3,3,dual,true,787263,3349.410,502.018
pattern-prefix,1048576,3,4,stream-default,true,788350,1479.693,909.653
pattern-prefix,1048576,3,4,stream-better,true,788350,1502.463,906.383
pattern-prefix,1048576,3,4,numeric,false,788562,1670.705,662.350
