phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
range,plain,true,8388608,random,3,242.174,9809.638,11656.303,8659328
stream,encrypted,true,8388608,random,3,249.584,16726.728,20752.372,8659328
whole,encrypted,false,8388608,random,3,239.643,30836.393,35556.655,8659328
range,signed,false,8388608,random,3,20450.657,1048.444,23646.579,8673664
range,encrypted,true,8388608,random,3,266.343,11814.745,16066.060,8659328
range,plain,false,8388608,random,3,258.734,11462.300,13707.190,8659328
whole,signed,true,8388608,random,3,18252.498,19324.783,41614.753,8669568
whole,plain,false,8388608,random,3,221.143,26152.502,30354.817,8659328
whole,plain,true,8388608,random,3,246.513,26734.049,31992.818,8659328
stream,encrypted-signed,true,8388608,random,3,1109.245,21425.420,26476.886,8669568
stream,signed,true,8388608,random,3,21682.533,4881.294,28722.885,8669568
stream,plain,true,8388608,random,3,245.313,11155.016,13538.807,8659328
range,encrypted,false,8388608,random,3,223.592,10474.687,13970.372,8659328
range,signed,true,8388608,random,3,20831.872,1075.674,24104.785,8669568
whole,encrypted-signed,true,8388608,random,3,1098.755,29293.483,35035.958,8669568
stream,signed,false,8388608,random,3,20749.801,4877.264,27931.605,8673664
range,encrypted-signed,true,8388608,random,3,1092.944,10482.177,14869.574,8669568
whole,encrypted-signed,false,8388608,random,3,1032.743,31467.242,37175.526,8673664
whole,signed,false,8388608,random,3,20634.280,14939.935,39202.293,8673664
stream,encrypted-signed,false,8388608,random,3,1017.124,19387.603,24197.337,8673664
stream,encrypted,true,8388608,random,4,246.574,21023.004,25079.748,8659328
range,encrypted-signed,true,8388608,random,4,1051.203,16528.386,20838.562,8669568
stream,plain,false,8388608,random,4,206.102,15340.391,17673.181,8659328
range,signed,false,8388608,random,4,16029.100,1049.424,19204.761,8673664
whole,encrypted,true,8388608,random,4,241.483,26590.828,31397.210,8659328
range,encrypted-signed,false,8388608,random,4,1020.534,14966.195,19301.003,8673664
whole,encrypted-signed,false,8388608,random,4,1032.724,31810.516,37360.749,8673664
range,plain,false,8388608,random,4,219.902,9970.741,11781.394,8659328
range,encrypted,false,8388608,random,4,226.983,10364.426,14367.488,8659328
stream,plain,true,8388608,random,4,299.953,16173.102,18683.324,8659328
stream,signed,true,8388608,random,4,16474.366,4907.544,24201.677,8669568
whole,encrypted,false,8388608,random,4,327.344,27644.701,32499.904,8659328
stream,signed,false,8388608,random,4,20763.591,4934.705,27949.815,8673664
range,encrypted,true,8388608,random,4,249.363,10679.840,14224.186,8659328
stream,encrypted,false,8388608,random,4,235.673,21293.238,25372.221,8659328
whole,plain,false,8388608,random,4,223.453,26216.642,30521.689,8659328
range,signed,true,8388608,random,4,21259.128,1068.344,24546.881,8669568
stream,encrypted-signed,false,8388608,random,4,1218.256,17513.929,22913.130,8673664
range,plain,true,8388608,random,4,293.744,11734.583,14240.136,8659328
whole,signed,true,8388608,random,4,17817.233,15367.461,37489.650,8669568
whole,plain,true,8388608,random,4,279.944,26060.570,30434.788,8659328
stream,encrypted-signed,true,8388608,random,4,1207.075,22476.764,27537.110,8669568
whole,signed,false,8388608,random,4,21841.996,15275.870,40788.084,8673664
whole,encrypted-signed,true,8388608,random,4,1064.013,32671.948,38657.655,8669568
stream,encrypted-signed,true,8388608,random,5,1060.934,21190.827,26065.590,8669568
whole,plain,true,8388608,random,5,361.435,27469.399,31916.097,8659328
range,encrypted-signed,true,8388608,random,5,1075.044,17140.964,22465.224,8669568
stream,plain,true,8388608,random,5,257.934,16140.181,18585.243,8659328
range,encrypted,false,8388608,random,5,404.706,12293.960,16097.981,8659328
stream,encrypted-signed,false,8388608,random,5,1184.686,22798.468,27937.436,8673664
stream,plain,false,8388608,random,5,385.456,17147.274,19689.998,8659328
stream,encrypted,true,8388608,random,5,424.185,18600.623,23017.450,8659328
stream,signed,true,8388608,random,5,22598.916,5050.106,29868.861,8669568
whole,encrypted-signed,true,8388608,random,5,1270.377,30282.225,36382.595,8669568
range,encrypted,true,8388608,random,5,304.564,15795.887,19503.235,8659328
range,plain,true,8388608,random,5,378.445,11464.150,13473.266,8659328
stream,signed,false,8388608,random,5,19601.956,5258.139,27150.955,8673664
range,encrypted-signed,false,8388608,random,5,1194.936,14560.291,19443.875,8673664
range,signed,true,8388608,random,5,22440.493,1059.494,25702.896,8669568
range,signed,false,8388608,random,5,16880.550,1064.084,20172.373,8673664
whole,plain,false,8388608,random,5,369.704,24440.770,29143.500,8659328
stream,encrypted,false,8388608,random,5,399.026,24349.008,29940.312,8659328
whole,encrypted,false,8388608,random,5,239.384,35216.030,40312.317,8659328
whole,encrypted,true,8388608,random,5,393.395,34454.941,39755.350,8659328
range,plain,false,8388608,random,5,308.864,11034.984,13001.060,8659328
whole,signed,false,8388608,random,5,18258.078,15840.447,38199.849,8673664
whole,encrypted-signed,false,8388608,random,5,1239.237,32084.409,38058.128,8673664
whole,signed,true,8388608,random,5,22188.670,14824.734,41033.716,8669568
stream,encrypted-signed,false,8388608,random,6,1014.623,20914.804,25796.527,8673664
whole,plain,false,8388608,random,6,331.375,25974.769,30332.237,8659328
range,encrypted,true,8388608,random,6,383.545,15559.724,19226.472,8659328
range,encrypted-signed,false,8388608,random,6,1023.374,14771.663,19107.320,8673664
stream,encrypted-signed,true,8388608,random,6,1224.986,22228.071,27296.957,8669568
stream,signed,false,8388608,random,6,20882.223,4799.223,27810.283,8673664
stream,encrypted,true,8388608,random,6,258.924,16624.167,20736.961,8659328
range,plain,false,8388608,random,6,212.543,9956.720,11786.224,8659328
whole,encrypted,true,8388608,random,6,249.763,26418.775,31251.028,8659328
whole,encrypted-signed,false,8388608,random,6,1022.844,30913.474,36503.627,8673664
stream,plain,false,8388608,random,6,217.693,15307.680,17657.801,8659328
range,plain,true,8388608,random,6,400.775,6408.624,8396.299,8659328
stream,encrypted,false,8388608,random,6,334.015,17602.640,21768.655,8659328
whole,signed,false,8388608,random,6,20459.027,14910.615,39065.130,8673664
stream,signed,true,8388608,random,6,18878.147,4798.133,25814.778,8669568
whole,encrypted-signed,true,8388608,random,6,1043.674,26662.909,32357.193,8669568
range,signed,false,8388608,random,6,20484.158,1054.974,23675.710,8673664
range,signed,true,8388608,random,6,16107.570,1049.844,19286.392,8669568
range,encrypted,false,8388608,random,6,233.783,10420.196,14041.073,8659328
range,encrypted-signed,true,8388608,random,6,1060.244,15348.421,19757.718,8669568
whole,signed,true,8388608,random,6,21025.265,15265.060,40436.979,8669568
whole,encrypted,false,8388608,random,6,256.753,32252.142,37218.186,8659328
stream,plain,true,8388608,random,6,272.724,15968.189,18421.981,8659328
whole,plain,true,8388608,random,6,264.153,21869.776,26290.414,8659328
whole,plain,false,8388608,random,7,229.923,26525.417,30920.305,8659328
whole,encrypted-signed,false,8388608,random,7,1064.714,32641.116,38497.013,8673664
whole,encrypted,false,8388608,random,7,256.883,31795.456,37621.182,8659328
range,encrypted-signed,true,8388608,random,7,1076.324,14949.445,19326.702,8669568
whole,signed,true,8388608,random,7,20641.270,14948.546,39592.668,8669568
stream,plain,false,8388608,random,7,211.502,15253.620,17605.770,8659328
whole,plain,true,8388608,random,7,246.493,21108.497,25360.312,8659328
range,signed,false,8388608,random,7,20568.609,1052.474,23750.801,8673664
stream,plain,true,8388608,random,7,248.413,11015.144,13412.405,8659328
range,encrypted,false,8388608,random,7,232.633,10502.238,14026.354,8659328
stream,encrypted-signed,true,8388608,random,7,1041.154,21114.936,25989.130,8669568
stream,encrypted,false,8388608,random,7,236.323,21095.726,25147.728,8659328
range,encrypted-signed,false,8388608,random,7,1011.383,15063.767,19402.364,8673664
stream,encrypted-signed,false,8388608,random,7,1006.013,21021.205,25914.088,8673664
range,plain,false,8388608,random,7,216.483,10141.763,11957.917,8659328
stream,signed,false,8388608,random,7,16387.755,4811.433,23333.105,8673664
whole,encrypted-signed,true,8388608,random,7,1042.824,26708.109,32409.964,8669568
range,encrypted,true,8388608,random,7,282.133,14912.385,18525.532,8659328
whole,signed,false,8388608,random,7,20516.568,14951.515,39589.617,8673664
range,signed,true,8388608,random,7,19230.261,1051.064,22409.933,8669568
stream,encrypted,true,8388608,random,7,252.353,16485.656,20529.168,8659328
stream,signed,true,8388608,random,7,20436.977,4765.303,27359.078,8669568
range,plain,true,8388608,random,7,253.503,5584.043,7446.647,8659328
whole,encrypted,true,8388608,random,7,299.434,27328.458,32181.661,8659328
