size,block,encrypted,signed,compressed,repeat,bytes,write_us,open_us,whole_us,range_us,compression_requested,storage,corpus
4194304,65536,false,false,true,1,26383,14662.764,25.801,4426.214,4789.250,true,file,pattern
4194304,65536,false,false,true,2,26383,15311.493,30.341,4412.334,4551.536,true,file,pattern
4194304,65536,false,false,true,3,26383,17061.440,42.900,4722.329,5208.756,true,file,pattern
4194304,65536,false,false,true,4,26383,18203.916,30.570,4429.655,4505.266,true,file,pattern
4194304,65536,false,false,true,5,26383,11706.101,23.040,4354.173,4673.458,true,file,pattern
4194304,65536,true,false,true,1,26415,5401.949,24.120,4269.562,4611.598,true,file,pattern
4194304,65536,true,false,true,2,26415,4875.492,26.300,4290.493,4555.217,true,file,pattern
4194304,65536,true,false,true,3,26415,4858.691,25.600,4188.281,4711.809,true,file,pattern
4194304,65536,true,false,true,4,26415,4665.468,33.761,4660.548,4776.250,true,file,pattern
4194304,65536,true,false,true,5,26415,4976.713,23.930,4194.451,4639.888,true,file,pattern
4194304,65536,false,true,true,1,26383,4504.236,6260.042,1516.622,4467.325,true,file,pattern
4194304,65536,false,true,true,2,26383,4709.519,6319.872,1558.293,4420.534,true,file,pattern
4194304,65536,false,true,true,3,26383,4659.178,6194.051,1556.843,4497.666,true,file,pattern
4194304,65536,false,true,true,4,26383,4843.091,6317.952,1524.762,4449.375,true,file,pattern
4194304,65536,false,true,true,5,26383,4574.527,6169.990,1557.663,4500.546,true,file,pattern
4194304,65536,true,true,true,1,26415,4668.928,6375.193,1644.564,4524.846,true,file,pattern
4194304,65536,true,true,true,2,26415,4612.957,6435.534,1644.454,4552.267,true,file,pattern
4194304,65536,true,true,true,3,26415,4576.176,7652.982,1883.068,4783.160,true,file,pattern
4194304,65536,true,true,true,4,26415,4952.062,6658.177,1595.354,4748.970,true,file,pattern
4194304,65536,true,true,true,5,26415,4961.153,6865.160,1759.736,4802.680,true,file,pattern
4194304,262144,false,false,false,1,4194933,5805.495,26.560,2643.969,251.404,false,file,pattern
4194304,262144,false,false,false,2,4194933,6411.763,33.641,2696.009,256.623,false,file,pattern
4194304,262144,false,false,false,3,4194933,6538.875,24.591,2619.638,250.104,false,file,pattern
4194304,262144,false,false,false,4,4194933,5879.405,22.771,2619.448,240.523,false,file,pattern
4194304,262144,false,false,false,5,4194933,6155.699,28.081,2659.829,250.724,false,file,pattern
4194304,262144,true,false,false,1,4195205,15659.279,54.590,5632.682,484.478,false,file,pattern
4194304,262144,true,false,false,2,4195205,31506.790,53.950,5822.885,490.117,false,file,pattern
4194304,262144,true,false,false,3,4195205,12962.649,36.201,5219.546,410.856,false,file,pattern
4194304,262144,true,false,false,4,4195205,12637.155,43.570,5253.057,443.976,false,file,pattern
4194304,262144,true,false,false,5,4195205,13185.113,39.990,5313.458,407.706,false,file,pattern
4194304,262144,false,true,false,1,4194933,6173.710,4831.481,2507.106,259.624,false,file,pattern
4194304,262144,false,true,false,2,4194933,6252.471,4868.921,2466.246,249.784,false,file,pattern
4194304,262144,false,true,false,3,4194933,6160.960,4903.251,2470.396,239.144,false,file,pattern
4194304,262144,false,true,false,4,4194933,6082.439,4861.541,2466.596,257.954,false,file,pattern
