case,metric,padded_us,unpadded_us,paired_change_pct,low95_pct,high95_pct,pairs
signed/false/range,read,1.450,1.440,-0.676,-2.027,0.694,25
signed/false/range,total,1213.972,1206.552,-0.371,-0.978,-0.121,25
signed/false/stream,open,1205.352,1198.332,-0.874,-1.210,-0.102,25
signed/false/stream,read,17.480,17.471,-0.006,-0.509,0.395,25
signed/false/stream,total,1231.923,1224.772,-0.822,-1.176,-0.086,25
signed/false/stream-content,open,1203.263,1198.852,-0.484,-0.780,0.122,25
signed/false/stream-content,read,17.780,17.791,0.224,-0.167,0.445,25
signed/false/stream-content,total,1230.163,1225.522,-0.594,-0.720,0.117,25
signed/false/whole,open,1204.012,1196.912,-0.585,-1.086,-0.329,25
signed/false/whole,read,1.390,1.380,-1.408,-2.174,0.714,25
signed/false/whole,total,1214.502,1207.073,-0.603,-1.110,-0.319,25
signed/true/range,open,1222.742,1216.962,-0.371,-0.617,-0.231,25
signed/true/range,read,1.470,1.450,-0.654,-2.027,1.389,25
signed/true/range,total,1232.942,1227.303,-0.344,-0.583,-0.229,25
signed/true/stream,open,1222.542,1215.782,-0.500,-1.167,-0.132,25
signed/true/stream,read,17.481,17.500,0.120,-0.343,0.287,25
signed/true/stream,total,1249.723,1242.223,-0.471,-1.034,-0.125,25
signed/true/stream-content,open,1223.653,1214.232,-0.736,-1.183,-0.216,25
signed/true/stream-content,read,17.820,17.820,-0.056,-0.399,0.512,25
signed/true/stream-content,total,1251.133,1241.273,-0.796,-1.162,-0.158,25
signed/true/whole,open,1224.823,1216.992,-0.769,-0.942,-0.144,25
signed/true/whole,read,1.410,1.410,-0.704,-2.113,1.399,25
signed/true/whole,total,1235.113,1227.233,-0.757,-1.235,-0.104,25
