files,size,access,format,open_us,first_file_us,total_us,archive_bytes
1,128,stream,zip,16.070,22.511,23.540,256
1,128,stream,current,66.701,79.141,86.231,7488
1,128,stream,prototype-padded,5.990,11.270,12.200,2048
1,128,stream,prototype-compact,5.060,10.190,11.081,288
1,128,whole,zip,16.020,21.390,22.371,256
1,128,whole,current,66.421,77.502,84.271,7488
1,128,whole,prototype-padded,5.960,11.290,12.260,2048
1,128,whole,prototype-compact,4.981,10.150,11.071,288
1,128,range,zip,15.950,21.510,22.500,256
1,128,range,current,65.180,76.571,83.481,7488
1,128,range,prototype-padded,5.931,11.220,12.170,2048
1,128,range,prototype-compact,4.960,10.090,11.000,288
512,4096,stream,zip,3178.527,3192.017,7170.467,2151446
512,4096,stream,current,579.359,2145.222,4451.416,2215232
512,4096,stream,prototype-padded,35.371,50.461,2956.194,2655232
512,4096,stream,prototype-compact,16.560,28.200,2911.364,2146368
512,4096,whole,zip,3190.077,3202.268,6791.331,2151446
512,4096,whole,current,581.949,2138.352,4097.201,2215232
512,4096,whole,prototype-padded,34.121,48.891,3061.346,2655232
512,4096,whole,prototype-compact,17.181,28.421,3006.294,2146368
512,4096,range,zip,3149.057,3159.177,6562.617,2151446
512,4096,range,current,567.278,2097.471,3896.578,2215232
512,4096,range,prototype-padded,22.190,35.270,2944.273,2655232
512,4096,range,prototype-compact,14.260,25.040,2885.233,2146368
4,8388608,stream,zip,56.641,2259.783,8947.923,33554878
4,8388608,stream,current,140.452,10654.568,44969.528,33570112
4,8388608,stream,prototype-padded,42.330,5829.396,22692.668,33620992
4,8388608,stream,prototype-compact,20.610,5665.614,22443.364,33620288
4,8388608,whole,zip,77.041,1848.397,8299.083,33554878
4,8388608,whole,current,164.592,11680.164,58725.923,33570112
4,8388608,whole,prototype-padded,47.881,6510.427,26627.236,33620992
4,8388608,whole,prototype-compact,35.551,6446.216,26426.862,33620288
4,8388608,range,zip,52.911,64.941,106.491,33554878
4,8388608,range,current,126.552,5634.454,22687.328,33570112
4,8388608,range,prototype-padded,44.301,70.461,124.922,33620992
4,8388608,range,prototype-compact,9.110,32.890,84.531,33620288
