case,metric,main_us,branch_us,paired_change_pct,low95_pct,high95_pct,pairs
plain/true/whole,total,112706.201,98832.625,-13.577,-21.766,-9.876,7
signed/false/range,open,142341.323,144308.738,3.068,-2.589,4.073,7
signed/false/range,read,1055.936,1060.547,-0.078,-2.238,1.803,7
signed/false/range,total,167157.493,156590.244,-4.707,-10.659,-3.649,7
signed/false/stream,open,146484.609,146022.434,-1.182,-2.788,4.895,7
signed/false/stream,read,38058.105,37845.674,0.016,-3.904,2.761,7
signed/false/stream,total,207619.074,195710.008,-6.839,-10.371,-2.605,7
signed/false/stream-content,open,144837.089,148221.229,0.017,-4.551,2.057,7
signed/false/stream-content,read,40376.391,40197.607,-0.156,-5.228,1.380,7
signed/false/stream-content,total,209676.098,198176.233,-6.252,-9.937,-4.357,7
signed/false/whole,open,143326.176,145342.783,1.300,-3.187,8.191,7
signed/false/whole,read,124625.235,112176.243,-8.693,-12.323,0.703,7
signed/false/whole,total,290659.357,270185.874,-6.472,-10.269,-3.917,7
signed/true/range,open,57848.132,57944.954,0.503,-1.142,8.009,7
signed/true/range,read,1242.099,755.201,-39.328,-40.450,-35.236,7
signed/true/range,total,59217.163,58784.047,-0.452,-2.149,7.456,7
signed/true/stream,open,57564.296,57468.195,-0.534,-6.669,3.348,7
signed/true/stream,read,45443.801,28200.655,-37.590,-47.520,-28.680,7
signed/true/stream,total,102377.025,85502.712,-16.328,-25.571,-15.377,7
signed/true/stream-content,open,57140.554,56944.975,1.235,-1.075,6.501,7
signed/true/stream-content,read,26071.809,26148.583,-1.737,-8.708,10.681,7
signed/true/stream-content,total,84030.076,83112.143,0.850,-2.034,5.007,7
signed/true/whole,open,57171.529,57196.533,0.091,-1.530,1.009,7
signed/true/whole,read,112472.535,97032.388,-13.793,-20.326,-7.716,7
signed/true/whole,total,170016.762,154305.468,-9.477,-13.644,-4.161,7
