case,metric,padded_us,unpadded_us,paired_change_pct,low95_pct,high95_pct,pairs
signed/false/range,read,1028.329,1029.988,0.377,-0.256,1.392,15
signed/false/range,total,18462.405,17847.213,-0.621,-0.759,1.053,15
signed/false/stream,open,18022.858,18011.840,-0.653,-1.534,0.579,15
signed/false/stream,read,4674.866,4646.505,-0.296,-0.594,0.422,15
signed/false/stream,total,22949.988,22928.170,-0.484,-1.788,0.237,15
signed/false/stream-content,open,17313.164,17302.392,0.104,-1.030,0.648,15
signed/false/stream-content,read,4878.008,4875.099,-0.099,-0.766,0.708,15
signed/false/stream-content,total,22429.196,22419.955,0.010,-0.806,1.158,15
signed/false/whole,open,17306.956,17299.763,-0.144,-0.968,1.006,15
signed/false/whole,read,12676.453,12679.772,-0.161,-0.329,0.485,15
signed/false/whole,total,31904.195,32252.228,1.252,0.254,1.779,15
signed/true/range,open,7920.635,7936.615,0.028,-0.784,0.400,15
signed/true/range,read,677.423,679.563,0.176,-1.283,0.892,15
signed/true/range,total,8620.818,8771.739,-0.223,-0.738,0.129,15
signed/true/stream,open,7837.663,7844.582,-0.448,-0.781,0.079,15
signed/true/stream,read,3144.867,3135.557,1.163,0.374,4.088,15
signed/true/stream,total,11050.130,11128.434,0.091,-0.224,0.874,15
signed/true/stream-content,open,7843.383,7886.293,0.786,0.251,0.838,15
signed/true/stream-content,read,2933.693,2920.474,0.190,-0.457,1.264,15
signed/true/stream-content,total,10830.558,10875.178,0.550,0.421,0.931,15
signed/true/whole,open,7809.522,7815.001,-0.087,-0.534,0.244,15
signed/true/whole,read,7724.671,7739.870,-0.338,-1.219,1.547,15
signed/true/whole,total,15697.763,15805.029,-0.410,-1.173,0.931,15
