phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
range,plain,true,8388608,random,3,235.323,9989.981,10505.897,8659328
stream,encrypted,true,8388608,random,3,238.173,15225.479,17633.330,8659328
whole,encrypted,false,8388608,random,3,246.783,26610.867,29477.954,8659328
range,signed,false,8388608,random,3,20536.178,1050.984,22077.728,8673664
range,encrypted,true,8388608,random,3,246.373,9265.281,11468.729,8659328
range,plain,false,8388608,random,3,212.243,9866.649,10386.626,8659328
whole,signed,true,8388608,random,3,16404.314,13152.742,32049.798,8669568
whole,plain,false,8388608,random,3,217.833,24260.926,26637.328,8659328
whole,plain,true,8388608,random,3,253.024,22782.807,25176.289,8659328
stream,encrypted-signed,true,8388608,random,3,1071.494,18824.625,22582.054,8669568
stream,signed,true,8388608,random,3,21084.945,4956.145,26502.256,8669568
stream,plain,true,8388608,random,3,269.114,11655.532,12374.742,8659328
range,encrypted,false,8388608,random,3,229.373,9179.490,11360.469,8659328
range,signed,true,8388608,random,3,20605.239,1055.374,22163.199,8669568
whole,encrypted-signed,true,8388608,random,3,1062.274,22447.373,26158.201,8669568
stream,signed,false,8388608,random,3,20794.681,4795.293,25975.389,8673664
range,encrypted-signed,true,8388608,random,3,1029.704,9189.430,12212.570,8669568
whole,encrypted-signed,false,8388608,random,3,1018.774,26353.713,30128.433,8673664
whole,signed,false,8388608,random,3,20364.746,13150.111,35633.775,8673664
stream,encrypted-signed,false,8388608,random,3,1020.693,17841.013,21037.295,8673664
stream,encrypted,true,8388608,random,4,267.624,19512.034,22342.022,8659328
range,encrypted-signed,true,8388608,random,4,1285.006,17293.546,21566.881,8669568
stream,plain,false,8388608,random,4,379.045,16378.284,17064.353,8659328
range,signed,false,8388608,random,4,15965.768,1050.334,17529.769,8673664
whole,encrypted,true,8388608,random,4,257.413,22145.359,25006.326,8659328
range,encrypted-signed,false,8388608,random,4,1020.173,13059.760,15900.477,8673664
whole,encrypted-signed,false,8388608,random,4,1015.513,25620.245,29183.631,8673664
range,plain,false,8388608,random,4,205.952,9758.367,10252.253,8659328
range,encrypted,false,8388608,random,4,213.453,8941.836,11161.216,8659328
stream,plain,true,8388608,random,4,237.543,15085.827,15745.336,8659328
stream,signed,true,8388608,random,4,16320.043,4891.104,21648.063,8669568
whole,encrypted,false,8388608,random,4,233.543,22143.369,24890.165,8659328
stream,signed,false,8388608,random,4,20260.234,4795.923,25464.332,8673664
range,encrypted,true,8388608,random,4,265.763,9490.954,11816.574,8659328
stream,encrypted,false,8388608,random,4,227.493,19755.547,22168.099,8659328
whole,plain,false,8388608,random,4,222.123,23597.897,25839.507,8659328
range,signed,true,8388608,random,4,19132.650,1053.894,20649.510,8669568
stream,encrypted-signed,false,8388608,random,4,1027.173,15119.227,18230.357,8673664
range,plain,true,8388608,random,4,243.153,10052.271,10614.449,8659328
whole,signed,true,8388608,random,4,16317.273,13166.782,31872.376,8669568
whole,plain,true,8388608,random,4,236.263,23594.538,25817.897,8659328
stream,encrypted-signed,true,8388608,random,4,1054.984,17745.492,20853.293,8669568
whole,signed,false,8388608,random,4,20515.928,13085.131,35658.616,8673664
whole,encrypted-signed,true,8388608,random,4,1046.004,24980.076,28578.583,8669568
stream,encrypted-signed,true,8388608,random,5,1083.244,19339.612,22748.836,8669568
whole,plain,true,8388608,random,5,245.733,24075.935,26373.464,8659328
range,encrypted-signed,true,8388608,random,5,1053.134,12218.049,15278.920,8669568
stream,plain,true,8388608,random,5,241.183,15301.290,16014.579,8659328
range,encrypted,false,8388608,random,5,234.453,9104.579,11442.319,8659328
stream,encrypted-signed,false,8388608,random,5,1022.803,19287.802,22368.232,8673664
stream,plain,false,8388608,random,5,208.112,15213.529,15954.188,8659328
stream,encrypted,true,8388608,random,5,265.034,15152.817,17521.309,8659328
stream,signed,true,8388608,random,5,20895.172,4841.943,26195.061,8669568
whole,encrypted-signed,true,8388608,random,5,1043.234,22578.305,26285.803,8669568
range,encrypted,true,8388608,random,5,257.373,13889.942,16300.753,8659328
range,plain,true,8388608,random,5,256.033,10114.732,10727.849,8659328
stream,signed,false,8388608,random,5,16756.729,4853.103,22030.628,8673664
range,encrypted-signed,false,8388608,random,5,1020.183,9683.887,12767.717,8673664
range,signed,true,8388608,random,5,20961.024,1098.324,22509.464,8669568
range,signed,false,8388608,random,5,16812.989,1068.204,18493.751,8673664
whole,plain,false,8388608,random,5,216.893,20811.342,23437.236,8659328
stream,encrypted,false,8388608,random,5,275.113,19035.499,21664.382,8659328
whole,encrypted,false,8388608,random,5,234.703,26203.522,29034.819,8659328
whole,encrypted,true,8388608,random,5,266.603,26405.555,29239.721,8659328
range,plain,false,8388608,random,5,212.623,9921.249,10440.676,8659328
whole,signed,false,8388608,random,5,16199.721,13006.870,31186.297,8673664
whole,encrypted-signed,false,8388608,random,5,1024.743,24752.023,28415.040,8673664
whole,signed,true,8388608,random,5,20655.970,13123.511,36250.243,8669568
stream,encrypted-signed,false,8388608,random,6,1031.523,19624.456,22802.257,8673664
whole,plain,false,8388608,random,6,263.273,23664.829,25926.468,8659328
range,encrypted,true,8388608,random,6,265.354,12308.760,14622.501,8659328
range,encrypted-signed,false,8388608,random,6,1101.304,13629.098,16753.408,8673664
stream,encrypted-signed,true,8388608,random,6,1037.083,19330.483,22471.513,8669568
stream,signed,false,8388608,random,6,20599.669,4797.802,25798.907,8673664
stream,encrypted,true,8388608,random,6,249.864,15009.945,17338.207,8659328
range,plain,false,8388608,random,6,245.483,10309.915,10846.052,8659328
whole,encrypted,true,8388608,random,6,247.653,22457.563,25279.340,8659328
whole,encrypted-signed,false,8388608,random,6,1037.263,27076.373,30875.792,8673664
stream,plain,false,8388608,random,6,232.303,15425.602,16158.031,8659328
range,plain,true,8388608,random,6,234.613,5758.585,6319.702,8659328
stream,encrypted,false,8388608,random,6,232.633,15311.340,17721.761,8659328
whole,signed,false,8388608,random,6,20743.001,13216.322,36118.442,8673664
stream,signed,true,8388608,random,6,19455.244,4742.582,24576.031,8669568
whole,encrypted-signed,true,8388608,random,6,1024.253,21901.986,25588.114,8669568
range,signed,false,8388608,random,6,20771.161,1060.303,22273.250,8673664
range,signed,true,8388608,random,6,16478.685,1051.694,18052.806,8669568
range,encrypted,false,8388608,random,6,235.333,9549.815,11905.716,8659328
range,encrypted-signed,true,8388608,random,6,1090.575,14143.204,17337.637,8669568
whole,signed,true,8388608,random,6,20861.683,13320.103,36611.148,8669568
whole,encrypted,false,8388608,random,6,233.743,26521.366,29339.243,8659328
stream,plain,true,8388608,random,6,256.923,15304.770,16011.748,8659328
whole,plain,true,8388608,random,6,235.433,19475.814,21766.984,8659328
whole,plain,false,8388608,random,7,214.263,22540.224,24777.243,8659328
whole,encrypted-signed,false,8388608,random,7,1008.553,24640.092,28270.799,8673664
whole,encrypted,false,8388608,random,7,236.513,26697.478,29696.927,8659328
range,encrypted-signed,true,8388608,random,7,1043.374,13768.589,16947.991,8669568
whole,signed,true,8388608,random,7,20818.431,13236.843,36582.807,8669568
stream,plain,false,8388608,random,7,216.153,15495.222,16162.681,8659328
whole,plain,true,8388608,random,7,242.544,19566.785,21910.506,8659328
range,signed,false,8388608,random,7,19496.045,1052.143,21054.405,8673664
stream,plain,true,8388608,random,7,315.344,11276.827,12019.687,8659328
