size,block,encrypted,signed,compressed,repeat,bytes,write_us,open_us,whole_us,range_us,compression_requested
128,262144,false,false,false,4,277,1.200,0.850,0.370,0.330,false
128,262144,false,false,false,5,277,1.210,0.870,0.370,0.390,false
128,262144,true,false,false,1,309,5.930,3.640,2.450,2.520,false
128,262144,true,false,false,2,309,6.230,3.640,2.530,2.550,false
128,262144,true,false,false,3,309,6.570,3.680,2.570,2.560,false
128,262144,true,false,false,4,309,6.280,3.590,2.540,2.520,false
128,262144,true,false,false,5,309,6.011,3.580,2.530,2.540,false
128,262144,false,true,false,1,277,30.721,63.221,0.380,0.420,false
128,262144,false,true,false,2,277,31.840,65.601,0.360,0.420,false
128,262144,false,true,false,3,277,31.100,63.441,0.350,0.410,false
128,262144,false,true,false,4,277,50.211,62.611,0.380,0.400,false
128,262144,false,true,false,5,277,29.721,62.831,0.370,0.410,false
128,262144,true,true,false,1,309,35.390,68.381,2.490,2.520,false
128,262144,true,true,false,2,309,36.110,68.741,2.520,2.600,false
128,262144,true,true,false,3,309,36.171,67.571,2.490,2.480,false
128,262144,true,true,false,4,309,36.201,67.081,2.490,2.530,false
128,262144,true,true,false,5,309,32.811,66.371,2.480,2.520,false
128,262144,false,false,false,1,277,5.030,0.870,0.370,0.390,true
128,262144,false,false,false,2,277,4.930,0.900,0.360,0.350,true
128,262144,false,false,false,3,277,5.060,0.850,0.380,0.360,true
128,262144,false,false,false,4,277,5.850,0.900,0.490,0.400,true
128,262144,false,false,false,5,277,5.340,0.820,0.380,0.350,true
128,262144,true,false,false,1,309,9.570,3.610,2.480,2.470,true
128,262144,true,false,false,2,309,10.371,3.640,2.500,2.510,true
128,262144,true,false,false,3,309,10.740,3.670,2.590,2.570,true
128,262144,true,false,false,4,309,9.951,3.630,2.430,2.510,true
128,262144,true,false,false,5,309,10.470,3.590,2.540,2.480,true
128,262144,false,true,false,1,277,33.260,60.521,0.330,0.380,true
128,262144,false,true,false,2,277,38.240,59.291,0.360,0.430,true
128,262144,false,true,false,3,277,35.141,59.291,0.350,0.380,true
128,262144,false,true,false,4,277,36.271,66.361,0.360,0.390,true
128,262144,false,true,false,5,277,33.810,59.791,0.340,0.390,true
128,262144,true,true,false,1,309,47.851,63.741,2.480,2.590,true
128,262144,true,true,false,2,309,41.631,68.461,2.520,2.550,true
128,262144,true,true,false,3,309,41.401,70.031,2.570,2.560,true
128,262144,true,true,false,4,309,38.271,72.791,2.450,2.460,true
128,262144,true,true,false,5,309,42.791,68.151,2.420,2.500,true
