pair,position,reader,phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
3,1,main,write,plain,true,8388608,pattern,5,0.000,0.000,37514.205,312704
3,2,main,write,plain,true,8388608,pattern,1,0.000,0.000,32830.408,312704
3,2,main,write,plain,true,8388608,pattern,2,0.000,0.000,33161.949,312704
3,2,main,write,plain,true,8388608,pattern,3,0.000,0.000,34444.687,312704
3,2,main,write,plain,true,8388608,pattern,4,0.000,0.000,37258.093,312704
3,2,main,write,plain,true,8388608,pattern,5,0.000,0.000,37241.033,312704
3,3,branch,write,plain,true,8388608,pattern,1,0.000,0.000,33068.059,312704
3,3,branch,write,plain,true,8388608,pattern,2,0.000,0.000,33401.951,312704
3,3,branch,write,plain,true,8388608,pattern,3,0.000,0.000,108698.233,312704
3,3,branch,write,plain,true,8388608,pattern,4,0.000,0.000,133165.733,312704
3,3,branch,write,plain,true,8388608,pattern,5,0.000,0.000,105287.493,312704
4,0,main,write,plain,true,8388608,pattern,1,0.000,0.000,41301.587,312704
4,0,main,write,plain,true,8388608,pattern,2,0.000,0.000,38792.793,312704
4,0,main,write,plain,true,8388608,pattern,3,0.000,0.000,32717.458,312704
4,0,main,write,plain,true,8388608,pattern,4,0.000,0.000,38774.483,312704
4,0,main,write,plain,true,8388608,pattern,5,0.000,0.000,36800.061,312704
4,1,branch,write,plain,true,8388608,pattern,1,0.000,0.000,717828.118,312704
4,1,branch,write,plain,true,8388608,pattern,2,0.000,0.000,43261.980,312704
4,1,branch,write,plain,true,8388608,pattern,3,0.000,0.000,43315.150,312704
4,1,branch,write,plain,true,8388608,pattern,4,0.000,0.000,44119.855,312704
4,1,branch,write,plain,true,8388608,pattern,5,0.000,0.000,42090.333,312704
4,2,branch,write,plain,true,8388608,pattern,1,0.000,0.000,32691.858,312704
4,2,branch,write,plain,true,8388608,pattern,2,0.000,0.000,36778.172,312704
4,2,branch,write,plain,true,8388608,pattern,3,0.000,0.000,39772.009,312704
4,2,branch,write,plain,true,8388608,pattern,4,0.000,0.000,37831.658,312704
4,2,branch,write,plain,true,8388608,pattern,5,0.000,0.000,38808.124,312704
4,3,main,write,plain,true,8388608,pattern,1,0.000,0.000,33000.520,312704
4,3,main,write,plain,true,8388608,pattern,2,0.000,0.000,32014.584,312704
4,3,main,write,plain,true,8388608,pattern,3,0.000,0.000,32904.090,312704
4,3,main,write,plain,true,8388608,pattern,4,0.000,0.000,31708.763,312704
4,3,main,write,plain,true,8388608,pattern,5,0.000,0.000,32506.638,312704
5,0,branch,write,plain,true,8388608,pattern,1,0.000,0.000,33540.964,312704
5,0,branch,write,plain,true,8388608,pattern,2,0.000,0.000,32281.507,312704
5,0,branch,write,plain,true,8388608,pattern,3,0.000,0.000,36474.301,312704
5,0,branch,write,plain,true,8388608,pattern,4,0.000,0.000,35990.908,312704
5,0,branch,write,plain,true,8388608,pattern,5,0.000,0.000,34451.149,312704
5,1,main,write,plain,true,8388608,pattern,1,0.000,0.000,32437.497,312704
5,1,main,write,plain,true,8388608,pattern,2,0.000,0.000,33844.405,312704
5,1,main,write,plain,true,8388608,pattern,3,0.000,0.000,32915.110,312704
5,1,main,write,plain,true,8388608,pattern,4,0.000,0.000,32881.459,312704
5,1,main,write,plain,true,8388608,pattern,5,0.000,0.000,33201.862,312704
5,2,main,write,plain,true,8388608,pattern,1,0.000,0.000,34100.787,312704
5,2,main,write,plain,true,8388608,pattern,2,0.000,0.000,35150.213,312704
5,2,main,write,plain,true,8388608,pattern,3,0.000,0.000,33319.863,312704
5,2,main,write,plain,true,8388608,pattern,4,0.000,0.000,32534.998,312704
5,2,main,write,plain,true,8388608,pattern,5,0.000,0.000,32244.707,312704
5,3,branch,write,plain,true,8388608,pattern,1,0.000,0.000,33765.945,312704
5,3,branch,write,plain,true,8388608,pattern,2,0.000,0.000,33095.202,312704
5,3,branch,write,plain,true,8388608,pattern,3,0.000,0.000,86214.969,312704
5,3,branch,write,plain,true,8388608,pattern,4,0.000,0.000,192373.135,312704
5,3,branch,write,plain,true,8388608,pattern,5,0.000,0.000,153328.668,312704
6,0,main,write,plain,true,8388608,pattern,1,0.000,0.000,36952.784,312704
6,0,main,write,plain,true,8388608,pattern,2,0.000,0.000,32727.809,312704
6,0,main,write,plain,true,8388608,pattern,3,0.000,0.000,34595.040,312704
6,0,main,write,plain,true,8388608,pattern,4,0.000,0.000,34400.599,312704
6,0,main,write,plain,true,8388608,pattern,5,0.000,0.000,33753.036,312704
6,1,branch,write,plain,true,8388608,pattern,1,0.000,0.000,33504.384,312704
6,1,branch,write,plain,true,8388608,pattern,2,0.000,0.000,32706.660,312704
6,1,branch,write,plain,true,8388608,pattern,3,0.000,0.000,33046.141,312704
