size,block,encrypted,signed,compressed,repeat,bytes,write_us,open_us,whole_us,range_us,compression_requested,storage,corpus
128,65536,true,false,false,4,309,1858.188,21.100,8.290,7.790,true,file,pattern
128,65536,true,false,false,5,309,1756.245,19.881,8.230,7.750,true,file,pattern
128,65536,false,true,false,1,277,2340.954,66.691,5.850,5.850,true,file,pattern
128,65536,false,true,false,2,277,2917.503,106.131,6.830,6.831,true,file,pattern
128,65536,false,true,false,3,277,1994.009,116.752,6.680,6.730,true,file,pattern
128,65536,false,true,false,4,277,2003.050,72.431,5.840,5.730,true,file,pattern
128,65536,false,true,false,5,277,1896.578,66.141,5.690,5.680,true,file,pattern
128,65536,true,true,false,1,309,1857.007,69.381,7.600,7.540,true,file,pattern
128,65536,true,true,false,2,309,1872.707,79.432,7.550,7.540,true,file,pattern
128,65536,true,true,false,3,309,1821.606,66.181,7.550,11.091,true,file,pattern
128,65536,true,true,false,4,309,2240.483,131.902,11.350,9.030,true,file,pattern
128,65536,true,true,false,5,309,2057.090,149.132,9.270,8.960,true,file,pattern
128,262144,false,false,false,1,277,1935.859,14.010,5.950,5.910,false,file,pattern
128,262144,false,false,false,2,277,1857.827,15.320,6.010,5.810,false,file,pattern
128,262144,false,false,false,3,277,1849.617,17.010,7.370,7.241,false,file,pattern
128,262144,false,false,false,4,277,1827.547,13.910,5.830,5.711,false,file,pattern
128,262144,false,false,false,5,277,1804.787,17.690,7.300,7.140,false,file,pattern
128,262144,true,false,false,1,309,2170.812,35.811,11.200,9.560,false,file,pattern
128,262144,true,false,false,2,309,1977.489,23.290,8.711,7.690,false,file,pattern
128,262144,true,false,false,3,309,1864.178,16.690,7.950,7.660,false,file,pattern
128,262144,true,false,false,4,309,1889.948,21.810,8.310,7.680,false,file,pattern
128,262144,true,false,false,5,309,1883.988,16.510,7.870,7.570,false,file,pattern
128,262144,false,true,false,1,277,1763.026,74.241,7.060,7.110,false,file,pattern
128,262144,false,true,false,2,277,1819.687,93.981,6.830,6.870,false,file,pattern
128,262144,false,true,false,3,277,1794.837,102.781,7.350,7.020,false,file,pattern
128,262144,false,true,false,4,277,2237.323,87.011,5.810,5.911,false,file,pattern
128,262144,false,true,false,5,277,1958.138,62.401,5.760,5.760,false,file,pattern
128,262144,true,true,false,1,309,1869.197,66.991,7.590,7.600,false,file,pattern
128,262144,true,true,false,2,309,1874.358,65.180,7.561,7.540,false,file,pattern
128,262144,true,true,false,3,309,1889.558,65.141,7.510,7.490,false,file,pattern
128,262144,true,true,false,4,309,1875.117,99.832,9.090,8.960,false,file,pattern
128,262144,true,true,false,5,309,1843.427,114.792,9.020,9.040,false,file,pattern
128,262144,false,false,false,1,277,2327.554,13.910,5.861,5.750,true,file,pattern
128,262144,false,false,false,2,277,1941.168,17.600,6.100,5.800,true,file,pattern
128,262144,false,false,false,3,277,1893.198,14.210,5.880,5.700,true,file,pattern
128,262144,false,false,false,4,277,1907.658,16.170,6.030,5.740,true,file,pattern
128,262144,false,false,false,5,277,1870.587,16.110,6.041,5.750,true,file,pattern
128,262144,true,false,false,1,309,1893.358,31.920,10.990,9.830,true,file,pattern
128,262144,true,false,false,2,309,1875.137,19.630,8.020,7.571,true,file,pattern
128,262144,true,false,false,3,309,2410.015,21.861,8.160,7.660,true,file,pattern
128,262144,true,false,false,4,309,2339.314,20.600,8.191,7.680,true,file,pattern
128,262144,true,false,false,5,309,1940.139,20.610,8.190,7.650,true,file,pattern
128,262144,false,true,false,1,277,1907.848,60.741,5.750,5.710,true,file,pattern
128,262144,false,true,false,2,277,1884.547,96.102,7.170,6.590,true,file,pattern
128,262144,false,true,false,3,277,1912.188,105.031,8.000,7.580,true,file,pattern
128,262144,false,true,false,4,277,1886.648,62.681,5.740,5.740,true,file,pattern
128,262144,false,true,false,5,277,1861.017,61.861,5.660,5.710,true,file,pattern
128,262144,true,true,false,1,309,2180.492,66.401,7.590,7.560,true,file,pattern
128,262144,true,true,false,2,309,1945.168,65.901,7.570,7.570,true,file,pattern
128,262144,true,true,false,3,309,1915.788,65.241,7.550,7.530,true,file,pattern
128,262144,true,true,false,4,309,1890.637,90.662,8.590,8.620,true,file,pattern
128,262144,true,true,false,5,309,1895.418,102.591,10.260,9.520,true,file,pattern
