symbol	domain	return_type	arguments
lockbox_create_form_record	archive.forms	RevaultBuffer	void *handle, const char *path, size_t path_len, const char *type_reference, size_t type_len, const char *name, size_t name_len
lockbox_set_form_field	archive.forms	bool	void *handle, const char *path, size_t path_len, const char *field, size_t field_len, const char *value, size_t value_len, bool secret
lockbox_list_form_records	archive.forms	RevaultBuffer	const void *handle
lockbox_get_form_record	archive.forms	RevaultBuffer	const void *handle, const char *path, size_t path_len
lockbox_delete_form_record	archive.forms	bool	void *handle, const char *path, size_t path_len
lockbox_move_form_records	archive.forms	bool	void *handle, const uint8_t *moves_proto, size_t moves_len
lockbox_get_form_field	archive.forms	RevaultBuffer	const void *handle, const char *path, size_t path_len, const char *field, size_t field_len
lockbox_to_bytes	archive.lifecycle	RevaultBuffer	const void *handle
lockbox_free	archive.lifecycle	void	void *handle
vault_is_running	vault.agent	bool	void
vault_forget_all	vault.agent	bool	void
key_contact_generate	keys.contact	void *	void
key_contact_from_private	keys.contact	void *	const uint8_t *bytes, size_t len
key_contact_public	keys.contact	RevaultBuffer	const void *handle
key_contact_private	keys.contact	RevaultBuffer	const void *handle
key_contact_public_from_bytes	keys.contact	void *	const uint8_t *bytes, size_t len
key_contact_public_free	keys.contact	void	void *handle
key_contact_free	keys.contact	void	void *handle
key_contact_encrypt	keys.contact	void *	const void *contact, const uint8_t *content_key, size_t key_len
key_contact_decrypt	keys.contact	RevaultBuffer	const void *contact, const void *wrapped
key_contact_wrapped_public	keys.contact	RevaultBuffer	const void *wrapped
key_contact_wrapped_ciphertext	keys.contact	RevaultBuffer	const void *wrapped
key_contact_wrapped_encrypted	keys.contact	RevaultBuffer	const void *wrapped
key_contact_wrapped_free	keys.contact	void	void *handle
key_signing_generate	keys.signing	void *	void
key_signing_from_private	keys.signing	void *	const uint8_t *bytes, size_t len
key_signing_public	keys.signing	RevaultBuffer	const void *handle
key_signing_private	keys.signing	RevaultBuffer	const void *handle
key_signing_public_from_bytes	keys.signing	void *	const uint8_t *bytes, size_t len
key_signing_public_free	keys.signing	void	void *handle
key_signing_free	keys.signing	void	void *handle
vault_key_export_private	keys.signing	RevaultBuffer	const void *key, const char *format, size_t format_len
vault_key_export_public	keys.signing	RevaultBuffer	const void *key, const char *format, size_t format_len
vault_key_import_private	keys.signing	void *	const uint8_t *bytes, size_t len
vault_key_import_public	keys.signing	void *	const uint8_t *bytes, size_t len
vault_key_fingerprint	keys.signing	RevaultBuffer	const void *key
vault_key_format_hex	keys.signing	RevaultBuffer	const uint8_t *bytes, size_t len
vault_key_decode_hex	keys.signing	RevaultBuffer	const char *text, size_t len
vault_key_format_crockford	keys.signing	RevaultBuffer	const uint8_t *bytes, size_t len
vault_key_format_crockford_reading	keys.signing	RevaultBuffer	const char *code, size_t len
vault_key_decode_crockford	keys.signing	RevaultBuffer	const char *code, size_t len
vault_key_hex_encode	keys.signing	RevaultBuffer	const uint8_t *bytes, size_t len
vault_key_hex_decode	keys.signing	RevaultBuffer	const char *text, size_t len
vault_directory_open	vault.directory	void *	const char *root, size_t root_len, const uint8_t *password, size_t password_len
vault_structure_version_current	vault.local	uint32_t	void
vault_directory_probe_structure_version	vault.directory	uint32_t	const char *root, size_t root_len, const uint8_t *password, size_t password_len
vault_directory_open_or_create_default	vault.directory	void *	const uint8_t *password, size_t password_len
vault_directory_replace_default	vault.directory	void *	const uint8_t *password, size_t password_len
vault_directory_change_password	vault.directory	bool	const char *root, size_t root_len, const uint8_t *old_password, size_t old_len, const uint8_t *new_password, size_t new_len
vault_directory_change_default_password	vault.directory	bool	const uint8_t *old_password, size_t old_len, const uint8_t *new_password, size_t new_len
vault_directory_replace	vault.directory	void *	const char *root, size_t root_len, const uint8_t *password, size_t password_len
vault_directory_open_or_create	vault.directory	void *	const char *root, size_t root_len, const uint8_t *password, size_t password_len
vault_directory_root	vault.directory	RevaultBuffer	const void *handle
vault_directory_structure_version	vault.directory	uint32_t	const void *handle
vault_directory_list_private_keys	vault.directory	RevaultBuffer	const void *handle
vault_directory_list_private_key_names	vault.directory	RevaultBuffer	const void *handle
vault_directory_list_contact_names	vault.directory	RevaultBuffer	const void *handle
vault_directory_list_form_aliases	vault.directory	RevaultBuffer	const void *handle
vault_directory_private_key_exists	vault.directory	bool	const void *handle, const char *name, size_t name_len
vault_directory_delete_private_key	vault.directory	bool	const void *handle, const char *name, size_t name_len
vault_directory_store_private_key	vault.directory	bool	const void *handle, const char *name, size_t name_len, const void *key
vault_directory_load_private_key	vault.directory	void *	const void *handle, const char *name, size_t name_len
vault_directory_load_private_key_generation	vault.directory	void *	const void *handle, const char *name, size_t name_len, uint16_t index
vault_directory_store_contact	vault.directory	bool	const void *handle, const char *name, size_t name_len, const void *key
vault_directory_load_contact	vault.directory	void *	const void *handle, const char *name, size_t name_len
vault_directory_contact_exists	vault.directory	bool	const void *handle, const char *name, size_t name_len
vault_directory_delete_contact	vault.directory	bool	const void *handle, const char *name, size_t name_len
vault_directory_list_contacts	vault.directory	RevaultBuffer	const void *handle
vault_directory_store_profile_email	vault.directory	bool	const void *handle, const char *name, size_t name_len, const char *email, size_t email_len
